,cl
E0,1
E1,0
E2,1
E3,1
E4,1
E5,2
E6,1
E7,1
E8,0
E9,1
E10,1
E11,1
E12,1
E13,1
E14,0
E15,1
E16,0
E17,0
E18,1
E19,2
E20,2
E21,1
E22,0
E23,1
E24,1
E25,0
E26,0
E27,1
E28,2
E29,0
E30,0
E31,1
E32,0
E33,1
E34,1
E35,1
E36,1
E37,0
E38,1
E39,2
E40,0
E41,2
E42,1
E43,0
E44,0
E45,0
E46,0
E47,0
E48,0
E49,1
E50,1
E51,1
E52,0
E53,2
E54,1
E55,2
E56,2
E57,1
E58,2
E59,1
E60,1
E61,2
E62,2
E63,1
E64,1
E65,2
E66,1
E67,0
E68,0
E69,2
E70,1
E71,0
E72,1
E73,1
E74,1
E75,2
E76,1
E77,2
E78,1
E79,2
E80,1
E81,1
E82,1
E83,1
E84,2
E85,0
E86,0
E87,1
E88,1
E89,1
E90,0
E91,0
E92,1
E93,0
E94,0
E95,1
E96,2
E97,0
E98,1
E99,0
E100,2
E101,1
E102,2
E103,2
E104,1
E105,1
E106,0
E107,1
E108,1
E109,1
E110,1
E111,1
E112,1
E113,1
E114,1
E115,0
E116,2
E117,0
E118,0
E119,1
E120,0
E121,1
E122,2
E123,1
E124,1
E125,1
E126,1
E127,2
E128,1
E129,0
E130,0
E131,1
E132,1
E133,0
E134,0
E135,0
E136,1
E137,1
E138,0
E139,0
E140,1
E141,0
E142,2
E143,1
E144,0
E145,2
E146,2
E147,1
E148,0
E149,1
E150,1
E151,0
E152,0
E153,1
E154,0
E155,2
E156,1
E157,1
E158,1
E159,1
E160,1
E161,0
E162,2
E163,1
E164,2
E165,2
E166,1
E167,1
E168,0
E169,1
E170,1
E171,0
E172,1
E173,1
E174,1
E175,1
E176,1
E177,0
E178,0
E179,1
E180,1
E181,2
E182,0
E183,2
E184,1
E185,2
E186,0
E187,2
E188,2
E189,2
E190,2
E191,1
E192,0
E193,0
E194,0
E195,1
E196,2
E197,2
E198,2
E199,0
E200,2
E201,1
E202,0
E203,1
E204,2
E205,1
E206,2
E207,0
E208,2
E209,1
E210,0
E211,1
E212,2
E213,0
E214,0
E215,1
E216,2
E217,2
E218,0
E219,2
E220,1
E221,1
E222,1
E223,0
E224,2
E225,1
E226,1
E227,1
E228,1
E229,2
E230,2
E231,2
E232,0
E233,0
E234,1
E235,1
E236,0
E237,1
E238,0
E239,1
E240,0
E241,1
E242,0
E243,1
E244,0
E245,1
E246,1
E247,1
E248,1
E249,2
E250,1
E251,0
E252,0
E253,1
E254,1
E255,1
E256,1
E257,0
E258,2
E259,0
E260,1
E261,1
E262,0
E263,0
E264,0
E265,0
E266,2
E267,1
E268,2
E269,1
E270,0
E271,1
E272,1
E273,1
E274,1
E275,1
E276,1
E277,0
E278,0
E279,2
E280,1
E281,1
E282,1
E283,1
E284,2
E285,1
E286,1
E287,2
E288,0
E289,0
E290,1
E291,1
E292,0
E293,1
E294,1
E295,1
E296,0
E297,1
E298,2
E299,0
E300,1
E301,2
E302,1
E303,1
E304,0
E305,1
E306,0
E307,0
E308,0
E309,1
E310,1
E311,2
E312,1
E313,2
E314,2
E315,0
E316,1
E317,2
E318,0
E319,0
E320,0
E321,1
E322,1
E323,1
E324,1
E325,1
E326,1
E327,0
E328,1
E329,0
E330,2
E331,0
E332,2
E333,0
E334,0
E335,2
E336,1
E337,1
E338,1
E339,2
E340,0
E341,1
E342,2
E343,2
E344,2
E345,1
E346,0
E347,0
E348,1
E349,1
E350,2
E351,2
E352,1
E353,2
E354,0
E355,0
E356,1
E357,0
E358,0
E359,2
E360,1
E361,1
E362,1
E363,1
E364,2
E365,1
E366,0
E367,1
E368,0
E369,0
E370,0
E371,2
E372,0
E373,0
E374,2
E375,0
E376,1
E377,1
E378,0
E379,1
E380,0
E381,2
E382,1
E383,1
E384,0
E385,0
E386,1
E387,2
E388,1
E389,2
E390,0
E391,1
E392,1
E393,1
E394,1
E395,0
E396,1
E397,1
E398,0
E399,2
E400,2
E401,2
E402,1
E403,1
E404,2
E405,1
E406,1
E407,0
