,cl
E0,1
E1,0
E2,1
E3,1
E4,1
E5,0
E6,1
E7,1
E8,1
E9,0
E10,0
E11,0
E12,0
E13,0
E14,1
E15,0
E16,0
E17,1
E18,0
E19,0
E20,0
E21,1
E22,0
E23,0
E24,0
E25,1
E26,0
E27,1
E28,0
E29,0
E30,1
E31,0
E32,1
E33,0
E34,1
E35,0
E36,0
E37,1
E38,0
E39,0
E40,0
E41,1
E42,1
E43,1
E44,0
E45,0
E46,1
E47,0
E48,0
E49,0
E50,0
E51,1
E52,0
E53,0
E54,0
E55,0
E56,0
E57,1
E58,1
E59,1
E60,1
E61,0
E62,0
E63,0
E64,1
E65,0
E66,1
E67,1
E68,0
E69,0
E70,1
E71,0
E72,1
E73,1
E74,0
E75,1
E76,0
E77,0
E78,0
E79,0
E80,0
E81,0
E82,1
E83,1
E84,1
E85,0
E86,1
E87,1
E88,0
E89,0
E90,1
E91,1
E92,1
E93,0
E94,0
E95,0
E96,1
E97,1
E98,0
E99,1
E100,1
E101,1
E102,0
E103,1
E104,0
E105,0
E106,0
E107,0
E108,0
E109,1
E110,1
E111,0
E112,0
E113,0
E114,1
E115,1
E116,1
E117,0
E118,0
E119,1
E120,0
E121,0
E122,1
E123,0
E124,0
E125,0
E126,0
E127,0
E128,0
E129,1
E130,0
E131,1
E132,0
E133,0
E134,0
E135,0
E136,0
E137,0
E138,0
E139,1
E140,0
E141,0
E142,1
E143,1
E144,0
E145,0
E146,0
E147,0
E148,0
E149,1
E150,1
E151,1
E152,1
E153,1
E154,1
E155,0
E156,0
E157,0
E158,1
E159,0
E160,1
E161,1
E162,1
E163,1
E164,0
E165,0
E166,0
E167,1
E168,0
E169,0
E170,1
E171,1
E172,0
E173,0
E174,1
E175,1
E176,1
E177,1
E178,1
E179,1
E180,0
E181,0
E182,0
E183,0
E184,1
E185,0
E186,1
E187,0
E188,1
E189,0
E190,0
E191,0
E192,0
E193,1
E194,0
E195,0
E196,1
E197,1
E198,0
E199,1
E200,1
E201,0
E202,1
E203,0
E204,1
E205,1
E206,0
E207,0
E208,0
E209,0
E210,0
E211,1
E212,1
E213,0
E214,0
E215,1
E216,0
E217,0
E218,0
E219,1
E220,1
E221,0
E222,0
E223,0
E224,1
E225,1
E226,0
E227,1
E228,0
E229,1
E230,1
E231,0
E232,0
E233,0
E234,1
E235,0
E236,0
E237,0
E238,0
E239,0
E240,1
E241,1
E242,0
E243,0
E244,1
E245,0
E246,1
E247,0
E248,0
E249,0
E250,1
E251,0
E252,0
E253,1
E254,1
E255,0
E256,1
E257,1
E258,1
E259,1
E260,1
E261,0
E262,0
E263,0
E264,1
E265,0
E266,0
E267,0
E268,1
E269,0
E270,0
E271,1
E272,1
E273,1
E274,0
E275,1
E276,1
E277,0
E278,0
E279,0
E280,0
E281,1
E282,0
E283,1
E284,1
E285,0
E286,0
E287,1
E288,1
E289,0
E290,0
E291,1
E292,1
E293,0
E294,0
E295,1
E296,0
E297,0
E298,0
E299,0
E300,0
E301,1
E302,0
E303,0
E304,0
E305,1
E306,0
E307,1
E308,0
E309,1
E310,0
E311,1
E312,0
E313,1
E314,0
E315,1
E316,1
E317,0
E318,1
E319,1
E320,0
E321,0
E322,1
E323,0
E324,0
E325,1
E326,0
E327,1
E328,1
E329,1
E330,1
E331,0
E332,0
E333,1
E334,1
E335,1
E336,1
E337,0
E338,0
E339,0
E340,0
E341,1
E342,0
E343,0
E344,1
E345,0
E346,0
E347,0
E348,1
E349,1
E350,1
E351,1
E352,1
E353,1
E354,0
E355,1
E356,0
E357,0
E358,1
E359,0
E360,1
E361,0
E362,0
E363,0
E364,1
E365,0
E366,0
E367,1
E368,1
E369,1
E370,0
E371,0
E372,0
E373,0
E374,1
E375,0
E376,1
E377,0
E378,1
E379,0
E380,1
E381,1
E382,0
E383,0
E384,1
E385,0
E386,0
E387,1
E388,1
E389,0
E390,0
E391,1
E392,0
E393,0
E394,0
E395,1
E396,1
E397,1
E398,1
E399,1
E400,1
E401,1
E402,1
E403,1
E404,1
E405,1
E406,0
E407,0
