,cl
E0,0
E1,1
E2,0
E3,1
E4,1
E5,0
E6,1
E7,1
E8,0
E9,0
E10,1
E11,1
E12,0
E13,1
E14,0
E15,0
E16,0
E17,1
E18,1
E19,0
E20,0
E21,1
E22,0
E23,0
E24,0
E25,1
E26,0
E27,0
E28,0
E29,1
E30,1
E31,1
E32,1
E33,1
E34,0
E35,0
E36,1
E37,0
E38,1
E39,1
E40,1
E41,0
E42,0
E43,0
E44,1
E45,1
E46,0
E47,1
E48,0
E49,1
E50,1
E51,0
E52,1
E53,1
E54,0
E55,0
E56,1
E57,1
E58,1
E59,1
E60,0
E61,0
E62,1
E63,1
E64,1
E65,1
E66,1
E67,1
E68,1
E69,1
E70,0
E71,0
E72,1
E73,0
E74,0
E75,0
E76,1
E77,0
E78,0
E79,1
E80,0
E81,0
E82,1
E83,1
E84,1
E85,1
E86,1
E87,1
E88,0
E89,1
E90,0
E91,0
E92,0
E93,1
E94,1
E95,1
E96,0
E97,1
E98,1
E99,0
E100,0
E101,1
E102,0
E103,1
E104,0
E105,0
E106,1
E107,0
E108,0
E109,1
E110,0
E111,0
E112,0
E113,0
E114,1
E115,1
E116,1
E117,0
E118,0
E119,0
E120,1
E121,1
E122,0
E123,1
E124,0
E125,0
E126,1
E127,1
E128,1
E129,1
E130,0
E131,0
E132,0
E133,1
E134,0
E135,1
E136,0
E137,1
E138,1
E139,1
E140,1
E141,0
E142,0
E143,0
E144,1
E145,0
E146,1
E147,1
E148,1
E149,0
E150,0
E151,1
E152,0
E153,0
E154,0
E155,0
E156,0
E157,1
E158,0
E159,1
E160,0
E161,0
E162,1
E163,1
E164,0
E165,0
E166,0
E167,0
E168,1
E169,0
E170,0
E171,0
E172,0
E173,1
E174,0
E175,0
E176,1
E177,1
E178,1
E179,1
E180,0
E181,0
E182,1
E183,0
E184,1
E185,1
E186,1
E187,0
E188,1
E189,1
E190,0
E191,1
E192,0
E193,1
E194,0
E195,1
E196,1
E197,1
E198,0
E199,1
E200,0
E201,0
E202,0
E203,1
E204,1
E205,0
E206,1
E207,0
E208,0
E209,0
E210,1
E211,1
E212,0
E213,0
E214,0
E215,0
E216,1
E217,1
E218,1
E219,1
E220,1
E221,1
E222,0
E223,0
E224,1
E225,0
E226,0
E227,1
E228,0
E229,1
E230,0
E231,1
E232,0
E233,0
E234,0
E235,0
E236,1
E237,0
E238,1
E239,0
E240,0
E241,0
E242,0
E243,0
E244,0
E245,0
E246,0
E247,1
E248,1
E249,0
E250,1
E251,0
E252,1
E253,1
E254,0
E255,1
E256,0
E257,0
E258,1
E259,1
E260,1
E261,0
E262,1
E263,1
E264,0
E265,0
E266,1
E267,1
E268,1
E269,1
E270,0
E271,1
E272,0
E273,1
E274,1
E275,0
E276,0
E277,0
E278,1
E279,1
E280,1
E281,1
E282,0
E283,1
E284,0
E285,0
E286,1
E287,1
E288,0
E289,1
E290,1
E291,1
E292,0
E293,0
E294,0
E295,0
E296,0
E297,1
E298,1
E299,1
E300,0
E301,0
E302,0
E303,1
E304,0
E305,0
E306,0
E307,0
E308,1
E309,0
E310,0
E311,1
E312,0
E313,1
E314,0
E315,0
E316,1
E317,1
E318,1
E319,0
E320,0
E321,0
E322,0
E323,1
E324,0
E325,0
E326,0
E327,1
E328,0
E329,1
E330,1
E331,0
E332,0
E333,0
E334,0
E335,0
E336,0
E337,1
E338,0
E339,1
E340,1
E341,0
E342,1
E343,0
E344,0
E345,1
E346,0
E347,1
E348,0
E349,0
E350,1
E351,1
E352,1
E353,0
E354,0
E355,1
E356,1
E357,0
E358,0
E359,0
E360,1
E361,1
E362,1
E363,1
E364,0
E365,0
E366,1
E367,0
E368,0
E369,1
E370,1
E371,1
E372,0
E373,1
E374,1
E375,1
E376,1
E377,1
E378,1
E379,0
E380,0
E381,1
E382,0
E383,1
E384,1
E385,1
E386,1
E387,0
E388,1
E389,0
E390,1
E391,0
E392,0
E393,0
E394,1
E395,1
E396,0
E397,0
E398,0
E399,1
E400,0
E401,1
E402,0
E403,1
E404,0
E405,0
E406,0
E407,0
E408,1
E409,1
E410,0
E411,0
E412,1
E413,0
E414,1
E415,0
E416,1
E417,0
E418,1
E419,1
E420,1
E421,0
E422,1
E423,0
E424,1
E425,0
E426,1
E427,0
E428,0
