,PseudoTime1,PseudoTime2,PseudoTime3
E555_145,NA,NA,0.1809
E807_449,NA,0.56281,NA
E415_236,0.29523,NA,NA
E51_522,NA,NA,0.65452
E323_257,NA,0.32161,NA
E564_475,NA,NA,0.59548
E890_729,NA,0.91457,NA
E786_567,0.71106,NA,NA
E188_772,NA,NA,0.96859
E233_721,NA,NA,0.90452
E512_773,NA,NA,0.96985
E210_168,NA,NA,0.2098
E885_175,NA,NA,0.21859
E771_420,NA,0.52638,NA
E915_403,NA,0.50503,NA
E32_178,NA,NA,0.22236
E223_144,NA,NA,0.17965
E546_797,1.0,NA,NA
E161_157,NA,0.19598,NA
E718_458,NA,0.57412,NA
E703_727,NA,NA,0.91206
E431_153,NA,NA,0.19095
E202_569,0.71357,NA,NA
E856_642,0.80528,NA,NA
E290_8,NA,NA,0.00879
E965_752,NA,0.94347,NA
E352_700,NA,NA,0.87814
E850_46,NA,NA,0.05653
E364_361,0.45226,NA,NA
E360_679,NA,0.85176,NA
E685_181,0.22613,NA,NA
E819_218,NA,0.27261,NA
E329_338,0.42337,NA,NA
E498_184,0.2299,NA,NA
E510_791,NA,0.99246,NA
E508_590,0.73995,NA,NA
E501_422,NA,0.52889,NA
E292_614,NA,0.7701,NA
E976_334,NA,NA,0.41834
E409_229,0.28643,NA,NA
E84_491,NA,NA,0.61558
E673_587,0.73618,NA,NA
E385_61,0.07538,NA,NA
E642_224,NA,NA,0.28015
E33_159,NA,0.19849,NA
E58_35,NA,0.04271,NA
E154_559,NA,0.70101,NA
E39_478,0.59925,NA,NA
E570_315,0.39447,NA,NA
E669_587,NA,0.73618,NA
E506_454,NA,NA,0.5691
E227_231,NA,0.28894,NA
E207_508,NA,NA,0.63693
E950_274,NA,NA,0.34296
E65_368,0.46106,NA,NA
E682_327,NA,NA,0.40955
E276_34,NA,0.04146,NA
E336_193,0.24121,NA,NA
E477_3,NA,NA,0.00251
E373_228,NA,0.28518,NA
E300_169,NA,NA,0.21106
E560_159,0.19849,NA,NA
E325_681,NA,NA,0.85427
E505_603,0.75628,NA,NA
E783_196,NA,0.24497,NA
E66_755,NA,NA,0.94724
E17_640,0.80276,NA,NA
E205_134,0.16709,NA,NA
E366_784,NA,0.98367,NA
E312_277,NA,NA,0.34673
E476_585,NA,0.73367,NA
E705_391,0.48995,NA,NA
E582_621,0.77889,NA,NA
E357_471,NA,0.59045,NA
E810_616,0.77261,NA,NA
E641_126,NA,NA,0.15704
E118_219,0.27387,NA,NA
E799_598,NA,0.75,NA
E316_581,0.72864,NA,NA
E365_638,0.80025,NA,NA
E941_520,NA,0.65201,NA
E484_114,NA,0.14196,NA
E622_505,0.63317,NA,NA
E363_753,NA,0.94472,NA
E677_523,NA,0.65578,NA
E69_260,NA,NA,0.32538
E974_358,NA,0.44849,NA
E895_123,0.15327,NA,NA
E200_381,NA,0.47739,NA
E358_289,NA,NA,0.36181
E527_621,NA,0.77889,NA
E904_244,NA,0.30528,NA
E83_453,NA,0.56784,NA
E887_193,NA,0.24121,NA
E961_710,NA,NA,0.8907
E383_768,NA,0.96357,NA
E2_634,NA,NA,0.79523
E62_285,0.35678,NA,NA
E14_772,NA,0.96859,NA
E351_479,NA,0.6005,NA
E240_699,NA,0.87688,NA
E657_42,0.05151,NA,NA
E405_75,NA,NA,0.09296
E962_600,NA,0.75251,NA
E29_707,NA,0.88693,NA
E41_656,NA,NA,0.82286
E900_108,NA,0.13442,NA
