,PseudoTime1,PseudoTime2,PseudoTime3
E372_92,0.11418,NA,NA
E612_480,NA,NA,0.601
E725_749,NA,0.93852,NA
E332_18,NA,0.02133,NA
E342_256,0.31995,NA,NA
E714_494,0.61857,NA,NA
E403_397,NA,0.49686,NA
E820_444,0.55583,NA,NA
E473_513,NA,0.64241,NA
E455_383,0.4793,NA,NA
E421_104,NA,NA,0.12923
E327_13,0.01506,NA,NA
E513_558,NA,0.69887,NA
E209_80,NA,NA,0.09912
E945_690,NA,0.86449,NA
E365_157,NA,0.19573,NA
E803_35,NA,0.04266,NA
E202_330,0.4128,NA,NA
E510_448,0.56085,NA,NA
E172_404,NA,NA,0.50565
E981_777,NA,NA,0.97365
E853_519,NA,NA,0.64994
E68_412,NA,0.51568,NA
E349_521,NA,NA,0.65245
E404_650,0.8143,NA,NA
E25_727,NA,0.91092,NA
E685_103,0.12798,NA,NA
E928_734,NA,0.9197,NA
E624_22,NA,NA,0.02635
E854_620,NA,NA,0.77666
E127_296,0.37014,NA,NA
E760_449,0.56211,NA,NA
E337_425,0.53199,NA,NA
E229_502,0.62861,NA,NA
E876_772,0.96738,NA,NA
E640_465,0.58218,NA,NA
E552_33,NA,NA,0.04015
E233_180,NA,0.22459,NA
E33_299,NA,NA,0.3739
E27_757,NA,0.94856,NA
E402_373,NA,NA,0.46675
E338_328,NA,NA,0.41029
E212_504,0.63112,NA,NA
E723_434,0.54329,NA,NA
E641_536,0.67127,NA,NA
E519_294,NA,NA,0.36763
E423_752,NA,0.94228,NA
E556_175,0.21832,NA,NA
E223_758,0.94981,NA,NA
E749_263,0.32873,NA,NA
E121_384,NA,NA,0.48055
E108_246,NA,NA,0.3074
E71_78,NA,0.09661,NA
E152_672,0.84191,NA,NA
E490_149,NA,NA,0.1857
E63_345,NA,NA,0.43162
E676_272,NA,0.34003,NA
E448_328,0.41029,NA,NA
E148_244,0.30489,NA,NA
E302_276,NA,0.34504,NA
E627_216,0.26976,NA,NA
E926_70,0.08657,NA,NA
E412_85,NA,0.1054,NA
E850_692,NA,NA,0.867
E550_83,0.10289,NA,NA
E538_563,0.70514,NA,NA
E310_522,NA,NA,0.6537
E26_582,0.72898,NA,NA
E751_467,0.58469,NA,NA
E469_320,NA,NA,0.40025
E717_382,0.47804,NA,NA
E822_130,0.16186,NA,NA
E793_192,0.23965,NA,NA
E31_370,NA,NA,0.46299
E134_418,0.52321,NA,NA
E447_574,NA,NA,0.71895
E543_590,NA,NA,0.73902
E896_720,0.90213,NA,NA
E10_594,NA,0.74404,NA
E110_452,NA,0.56587,NA
E847_293,0.36637,NA,NA
E321_385,NA,0.48181,NA
E298_138,0.17189,NA,NA
E67_785,0.98369,NA,NA
E861_646,0.80928,NA,NA
E557_317,NA,NA,0.39649
E441_293,NA,0.36637,NA
E684_128,NA,0.15935,NA
E786_175,NA,NA,0.21832
E851_511,0.6399,NA,NA
E762_688,NA,NA,0.86198
E852_168,NA,NA,0.20954
E443_275,NA,0.34379,NA
E186_785,0.98369,NA,NA
E220_539,NA,NA,0.67503
E6_43,NA,NA,0.0527
E413_728,NA,0.91217,NA
E900_429,0.53701,NA,NA
E361_311,NA,NA,0.38896
E475_169,NA,NA,0.21079
E547_574,NA,NA,0.71895
E387_87,0.1079,NA,NA
E400_431,0.53952,NA,NA
E971_136,NA,0.16939,NA
E39_596,NA,0.74655,NA
E879_528,NA,0.66123,NA
E242_211,NA,0.26349,NA
E114_439,NA,NA,0.54956
E535_488,NA,0.61104,NA
E810_381,NA,NA,0.47679
E228_398,NA,0.49812,NA
E768_300,NA,0.37516,NA
E161_513,NA,0.64241,NA
E869_200,NA,NA,0.24969
E167_743,NA,0.93099,NA
E797_69,NA,NA,0.08532
E23_353,NA,NA,0.44166
E927_105,0.13049,NA,NA
E280_406,NA,NA,0.50816
E241_673,NA,0.84316,NA
E620_665,NA,0.83312,NA
E328_452,NA,0.56587,NA
E880_236,0.29486,NA,NA
E189_668,NA,0.83689,NA
E514_503,NA,0.62986,NA
E551_407,NA,0.50941,NA
E354_630,0.78921,NA,NA
E553_309,0.38645,NA,NA
E941_581,0.72773,NA,NA
E77_99,NA,0.12296,NA
E862_447,NA,0.5596,NA
E726_698,0.87453,NA,NA
E322_735,NA,NA,0.92095
E773_296,0.37014,NA,NA
E686_542,NA,0.6788,NA
E533_360,0.45044,NA,NA
E125_24,NA,0.02886,NA
E61_447,NA,NA,0.5596
E968_283,NA,0.35383,NA
E246_212,NA,0.26474,NA
E607_349,0.43664,NA,NA
E17_335,NA,0.41907,NA
E5_235,NA,0.2936,NA
E200_314,NA,0.39272,NA
E326_656,NA,NA,0.82183
E485_411,0.51443,NA,NA
E859_445,0.55709,NA,NA
E601_140,NA,0.1744,NA
E487_303,0.37892,NA,NA
E371_684,0.85696,NA,NA
E301_95,NA,0.11794,NA
E984_505,0.63237,NA,NA
E356_484,NA,NA,0.60602
E93_188,NA,0.23463,NA
E741_183,NA,NA,0.22836
E221_282,NA,NA,0.35257
E14_535,0.67001,NA,NA
E600_100,NA,0.12422,NA
E344_531,0.66499,NA,NA
E30_87,NA,0.1079,NA
E770_297,0.37139,NA,NA
E705_667,NA,NA,0.83563
E952_52,NA,0.06399,NA
E105_768,NA,NA,0.96236
E950_567,NA,NA,0.71016
E281_106,NA,NA,0.13174
E288_449,NA,0.56211,NA
E523_418,NA,0.52321,NA
E956_84,NA,0.10414,NA
E963_108,0.13425,NA,NA
E710_725,NA,NA,0.90841
E858_363,NA,0.4542,NA
E257_75,NA,0.09285,NA
E520_243,NA,NA,0.30364
E43_797,NA,0.99875,NA
E126_274,NA,NA,0.34253
E272_678,NA,0.84944,NA
E965_706,0.88457,NA,NA
E521_590,0.73902,NA,NA
E655_13,NA,0.01506,NA
E735_62,NA,NA,0.07654
E873_576,NA,0.72146,NA
E662_597,NA,0.7478,NA
E960_582,0.72898,NA,NA
E491_582,NA,0.72898,NA
E231_161,NA,0.20075,NA
E51_417,NA,NA,0.52196
E47_118,0.1468,NA,NA
E680_410,NA,0.51317,NA
E972_213,NA,NA,0.266
E865_310,NA,NA,0.3877
E595_354,NA,NA,0.44291
E369_679,0.85069,NA,NA
E22_513,0.64241,NA,NA
E921_564,NA,0.7064,NA
E986_172,0.21455,NA,NA
E137_449,NA,NA,0.56211
E20_553,0.6926,NA,NA
E106_405,NA,0.5069,NA
E830_393,NA,NA,0.49184
E625_744,NA,NA,0.93225
E401_548,0.68632,NA,NA
E406_94,NA,NA,0.11669
E542_331,NA,0.41405,NA
E62_372,NA,0.4655,NA
E918_580,0.72647,NA,NA
E933_790,NA,NA,0.98996
E474_63,NA,0.07779,NA
E787_440,NA,0.55082,NA
E892_488,0.61104,NA,NA
E504_325,0.40652,NA,NA
E604_98,NA,0.12171,NA
E583_470,NA,NA,0.58846
E262_362,NA,0.45295,NA
E889_590,0.73902,NA,NA
E731_211,0.26349,NA,NA
E278_472,NA,0.59097,NA
E166_152,NA,0.18946,NA
E905_12,NA,NA,0.0138
E923_322,NA,NA,0.40276
E743_644,NA,NA,0.80678
E874_699,NA,NA,0.87578
E719_619,0.77541,NA,NA
E122_123,NA,0.15307,NA
E461_476,NA,NA,0.59598
E996_198,NA,NA,0.24718
E957_548,NA,NA,0.68632
E118_124,NA,0.15433,NA
E460_316,NA,0.39523,NA
E598_378,NA,0.47302,NA
E315_246,NA,0.3074,NA
E884_641,0.80301,NA,NA
E823_604,NA,0.75659,NA
E293_264,NA,NA,0.32999
E792_235,NA,0.2936,NA
E935_325,NA,0.40652,NA
E871_761,NA,0.95358,NA
E605_777,NA,NA,0.97365
E11_114,NA,NA,0.14178
E672_674,NA,0.84442,NA
E991_576,0.72146,NA,NA
E914_756,NA,0.9473,NA
E753_527,NA,0.65997,NA
E159_552,NA,NA,0.69134
E828_446,NA,0.55834,NA
E480_596,NA,NA,0.74655
E546_28,NA,0.03388,NA
E73_646,NA,NA,0.80928
E626_349,NA,0.43664,NA
E580_136,NA,NA,0.16939
E131_587,NA,0.73526,NA
E305_527,NA,NA,0.65997
E439_310,NA,NA,0.3877
E645_37,0.04517,NA,NA
E948_767,0.9611,NA,NA
E983_396,0.49561,NA,NA
E75_470,NA,0.58846,NA
E955_784,NA,0.98243,NA
E587_103,NA,0.12798,NA
E958_660,NA,NA,0.82685
E52_751,0.94103,NA,NA
