,PseudoTime1,PseudoTime2,PseudoTime3
E765_288,NA,0.3593,NA
E260_305,NA,0.38065,NA
E211_255,NA,0.31784,NA
E847_715,NA,NA,0.89573
E112_236,NA,NA,0.29397
E785_229,NA,NA,0.28518
E964_281,NA,NA,0.3505
E587_133,NA,0.16457,NA
E762_18,0.0201,NA,NA
E819_402,NA,NA,0.50251
E455_273,NA,0.34045,NA
E339_247,NA,NA,0.30779
E173_640,0.80151,NA,NA
E865_600,0.75126,NA,NA
E841_284,0.35427,NA,NA
E796_213,0.26508,NA,NA
E465_421,0.52638,NA,NA
E609_776,NA,NA,0.97236
E603_87,NA,NA,0.10678
E826_703,0.88065,NA,NA
E562_529,NA,NA,0.66206
E72_287,NA,0.35804,NA
E338_594,NA,NA,0.74372
E96_62,0.07538,NA,NA
E145_316,NA,NA,0.39447
E435_404,0.50503,NA,NA
E986_648,0.81156,NA,NA
E416_711,NA,0.8907,NA
E690_625,NA,0.78266,NA
E332_563,NA,0.70477,NA
E186_641,0.80276,NA,NA
E266_370,NA,0.46231,NA
E988_544,0.6809,NA,NA
E972_525,NA,0.65704,NA
E295_703,NA,NA,0.88065
E103_734,NA,NA,0.9196
E386_308,0.38442,NA,NA
E855_767,NA,0.96106,NA
E86_205,NA,0.25503,NA
E445_178,0.22111,NA,NA
E372_412,NA,0.51508,NA
E989_82,0.1005,NA,NA
E614_59,NA,NA,0.07161
E83_236,NA,0.29397,NA
E459_426,0.53266,NA,NA
E837_305,NA,NA,0.38065
E962_316,NA,NA,0.39447
E256_260,NA,0.32412,NA
E602_570,0.71357,NA,NA
E679_622,0.77889,NA,NA
E13_463,NA,NA,0.57915
E101_251,NA,0.31281,NA
E554_414,0.51759,NA,NA
E758_348,0.43467,NA,NA
E678_527,NA,NA,0.65955
E165_497,0.62186,NA,NA
E19_585,NA,NA,0.73241
E623_74,NA,NA,0.09045
E208_26,NA,NA,0.03015
E281_97,NA,0.11935,NA
E209_153,0.1897,NA,NA
E290_487,NA,NA,0.6093
E394_270,0.33668,NA,NA
E668_442,NA,0.55276,NA
E672_542,NA,NA,0.67839
E799_732,NA,NA,0.91709
E265_331,NA,0.41332,NA
E206_152,NA,NA,0.18844
E34_616,0.77136,NA,NA
E487_323,NA,NA,0.40327
E542_319,NA,0.39824,NA
E786_606,0.75879,NA,NA
E241_111,0.13693,NA,NA
E937_367,NA,0.45854,NA
E81_632,0.79146,NA,NA
E235_567,0.7098,NA,NA
E210_118,NA,NA,0.14573
E291_747,0.93593,NA,NA
E51_459,NA,0.57412,NA
E519_209,0.26005,NA,NA
E935_436,NA,0.54523,NA
E734_218,NA,NA,0.27136
E645_402,0.50251,NA,NA
E9_383,NA,NA,0.47864
E743_331,0.41332,NA,NA
E954_717,0.89824,NA,NA
E761_605,NA,NA,0.75754
E242_280,0.34925,NA,NA
E197_149,0.18467,NA,NA
E162_643,NA,0.80528,NA
E915_593,NA,NA,0.74246
E40_405,0.50628,NA,NA
E179_722,NA,0.90452,NA
E917_451,NA,0.56407,NA
E933_310,NA,NA,0.38693
E772_534,NA,0.66834,NA
