,cl
E0,0
E1,0
E2,1
E3,1
E4,1
E5,1
E6,0
E7,1
E8,0
E9,0
E10,0
E11,0
E12,0
E13,0
E14,1
E15,0
E16,1
E17,1
E18,0
E19,1
E20,1
E21,1
E22,1
E23,0
E24,1
E25,0
E26,0
E27,1
E28,1
E29,1
E30,1
E31,0
E32,1
E33,0
E34,1
E35,1
E36,0
E37,1
E38,0
E39,1
E40,0
E41,0
E42,0
E43,0
E44,1
E45,0
E46,0
E47,0
E48,0
E49,1
E50,1
E51,1
E52,1
E53,0
E54,1
E55,0
E56,1
E57,0
E58,0
E59,0
E60,1
E61,1
E62,1
E63,1
E64,1
E65,1
E66,1
E67,1
E68,0
E69,1
E70,0
E71,0
E72,0
E73,1
E74,1
E75,1
E76,0
E77,1
E78,1
E79,0
E80,0
E81,1
E82,0
E83,0
E84,0
E85,0
E86,0
E87,0
E88,0
E89,0
E90,0
E91,1
E92,0
E93,0
E94,1
E95,0
E96,0
E97,0
E98,1
E99,0
E100,0
E101,0
E102,0
E103,1
E104,0
E105,1
E106,0
E107,1
E108,1
E109,1
E110,1
E111,1
E112,1
E113,1
E114,0
E115,0
E116,0
E117,1
E118,1
E119,1
E120,0
E121,1
E122,0
E123,1
E124,0
E125,0
E126,0
E127,1
E128,1
E129,0
E130,1
E131,0
E132,1
E133,0
E134,1
E135,0
E136,1
E137,0
E138,1
E139,0
E140,0
E141,1
E142,0
E143,0
E144,0
E145,0
E146,0
E147,1
E148,0
E149,0
E150,0
E151,1
E152,1
E153,1
E154,1
E155,1
E156,1
E157,0
E158,1
E159,0
E160,0
E161,1
E162,1
E163,0
E164,1
E165,1
E166,0
E167,1
E168,1
E169,1
E170,0
E171,0
E172,1
E173,1
E174,1
E175,0
E176,0
E177,1
E178,1
E179,1
E180,0
E181,1
E182,1
E183,0
E184,1
E185,1
E186,0
E187,0
E188,1
E189,1
E190,0
E191,1
E192,1
E193,0
E194,0
E195,0
E196,1
E197,0
E198,1
E199,1
E200,0
E201,1
E202,1
E203,0
E204,0
E205,0
E206,0
E207,0
E208,1
E209,0
E210,0
E211,1
E212,1
E213,0
E214,0
E215,0
E216,0
E217,0
E218,0
E219,0
E220,1
E221,0
E222,1
E223,0
E224,1
E225,1
E226,0
E227,0
E228,0
E229,1
E230,1
E231,0
E232,1
E233,1
E234,0
E235,1
E236,1
E237,0
E238,1
E239,0
E240,1
E241,0
E242,0
E243,1
E244,1
E245,1
E246,1
E247,1
E248,0
E249,1
E250,1
E251,1
E252,0
E253,0
E254,1
E255,0
E256,1
E257,1
E258,0
E259,1
E260,1
E261,0
E262,0
E263,0
E264,0
E265,0
E266,1
E267,0
E268,0
E269,1
E270,1
E271,0
E272,1
E273,0
E274,0
E275,0
E276,0
E277,0
E278,1
E279,0
E280,1
E281,1
E282,0
E283,0
E284,1
E285,1
E286,1
E287,1
E288,1
E289,1
E290,1
E291,0
E292,0
E293,1
E294,0
E295,0
E296,1
E297,0
E298,0
E299,1
E300,1
E301,1
E302,0
E303,0
E304,1
E305,1
E306,1
E307,1
E308,1
E309,1
E310,0
E311,1
E312,0
E313,1
E314,0
E315,0
E316,0
E317,1
E318,1
E319,1
E320,1
E321,0
E322,1
E323,1
E324,0
E325,0
E326,0
E327,1
E328,0
E329,0
E330,1
E331,0
E332,0
E333,0
E334,1
E335,1
E336,1
E337,1
E338,1
E339,0
E340,0
E341,0
E342,0
E343,0
E344,0
E345,0
E346,0
E347,0
E348,0
E349,0
E350,0
E351,0
E352,1
E353,0
E354,1
E355,1
E356,0
E357,0
E358,0
E359,0
E360,1
E361,1
E362,1
E363,1
E364,1
E365,0
E366,1
E367,0
E368,1
E369,0
E370,1
E371,0
E372,1
E373,0
E374,0
E375,1
E376,0
E377,1
E378,1
E379,1
E380,0
E381,0
E382,0
E383,1
E384,1
E385,1
E386,1
E387,1
E388,1
E389,0
E390,1
E391,1
E392,0
E393,1
E394,0
E395,0
E396,0
E397,0
E398,0
E399,0
E400,1
E401,1
E402,1
E403,1
E404,0
E405,1
E406,0
E407,0
E408,0
E409,1
E410,0
E411,1
E412,1
E413,1
E414,1
E415,0
E416,1
E417,1
E418,0
E419,0
E420,0
E421,0
E422,1
E423,1
E424,1
E425,0
E426,1
E427,1
E428,0
E429,0
E430,0
E431,1
E432,0
E433,0
E434,0
E435,0
E436,0
E437,0
E438,0
E439,1
E440,0
E441,1
E442,0
E443,1
E444,1
E445,1
E446,0
E447,0
E448,1
E449,1
E450,1
E451,0
E452,0
E453,0
E454,1
E455,0
E456,1
E457,0
E458,1
E459,1
E460,1
E461,1
E462,0
E463,0
E464,1
E465,1
E466,1
E467,1
E468,0
E469,1
E470,0
E471,1
E472,1
E473,1
E474,0
E475,1
E476,0
E477,1
E478,0
E479,0
E480,0
E481,0
E482,0
E483,1
E484,0
E485,0
E486,1
E487,0
E488,0
E489,0
E490,1
E491,1
E492,1
E493,1
E494,1
E495,1
E496,1
E497,0
E498,1
E499,1
E500,1
E501,1
E502,1
E503,1
E504,1
E505,0
E506,1
E507,0
E508,1
E509,1
E510,1
E511,1
E512,0
E513,1
E514,0
E515,0
E516,1
E517,0
E518,1
E519,1
E520,0
E521,1
E522,1
E523,0
E524,1
E525,1
E526,1
E527,1
E528,0
E529,0
E530,1
E531,0
E532,0
E533,0
E534,0
E535,1
E536,1
E537,1
E538,1
E539,1
E540,0
E541,1
E542,0
E543,1
E544,1
E545,1
E546,1
E547,0
E548,0
E549,0
E550,1
E551,0
E552,0
E553,0
E554,0
E555,0
E556,0
E557,0
E558,1
E559,0
E560,0
E561,1
E562,0
E563,1
E564,0
E565,1
E566,0
E567,1
E568,1
E569,1
E570,0
E571,1
E572,1
E573,1
E574,1
E575,0
E576,0
E577,0
E578,0
E579,0
E580,1
E581,0
E582,0
E583,0
E584,0
E585,0
E586,0
E587,0
E588,1
E589,1
E590,1
E591,1
E592,1
E593,0
E594,0
E595,1
E596,1
E597,1
E598,1
E599,1
E600,1
E601,1
E602,0
E603,0
E604,0
E605,0
E606,0
E607,1
E608,1
E609,0
E610,1
E611,0
E612,1
E613,0
E614,0
E615,0
E616,1
E617,0
E618,0
E619,0
E620,0
E621,0
E622,1
E623,1
E624,0
E625,1
E626,1
E627,1
