,cl
E0,1
E1,1
E2,1
E3,1
E4,1
E5,0
E6,1
E7,0
E8,0
E9,0
E10,1
E11,1
E12,1
E13,1
E14,0
E15,1
E16,0
E17,0
E18,1
E19,0
E20,1
E21,0
E22,0
E23,1
E24,1
E25,0
E26,0
E27,1
E28,1
E29,1
E30,1
E31,1
E32,1
E33,0
E34,0
E35,1
E36,1
E37,1
E38,0
E39,1
E40,1
E41,1
E42,1
E43,1
E44,1
E45,1
E46,1
E47,1
E48,1
E49,0
E50,0
E51,0
E52,1
E53,1
E54,1
E55,0
E56,0
E57,1
E58,0
E59,0
E60,1
E61,1
E62,0
E63,1
E64,1
E65,0
E66,1
E67,0
E68,0
E69,1
E70,0
E71,1
E72,1
E73,0
E74,1
E75,0
E76,1
E77,1
E78,1
E79,1
E80,1
E81,1
E82,0
E83,1
E84,0
E85,1
E86,1
E87,0
E88,0
E89,0
E90,1
E91,1
E92,0
E93,1
E94,1
E95,1
E96,1
E97,0
E98,1
E99,1
E100,1
E101,0
E102,1
E103,0
E104,0
E105,0
E106,1
E107,1
E108,1
E109,0
E110,0
E111,1
E112,1
E113,0
E114,0
E115,0
E116,1
E117,1
E118,1
E119,0
E120,1
E121,1
E122,1
E123,0
E124,1
E125,0
E126,0
E127,1
E128,1
E129,0
E130,1
E131,1
E132,1
E133,1
E134,0
E135,0
E136,1
E137,1
E138,1
E139,0
E140,0
E141,0
E142,0
E143,0
E144,1
E145,0
E146,1
E147,1
E148,1
E149,1
E150,0
E151,1
E152,0
E153,1
E154,0
E155,1
E156,1
E157,0
E158,1
E159,1
E160,0
E161,0
E162,1
E163,1
E164,0
E165,1
E166,1
E167,0
E168,1
E169,1
E170,1
E171,1
E172,1
E173,1
E174,0
E175,1
E176,1
E177,1
E178,0
E179,0
E180,0
E181,1
E182,1
E183,1
E184,0
E185,0
E186,0
E187,0
E188,1
E189,1
E190,1
E191,0
E192,1
E193,1
E194,0
E195,1
E196,0
E197,1
E198,0
E199,1
E200,0
E201,1
E202,0
E203,1
E204,1
E205,1
E206,0
E207,1
E208,1
E209,0
E210,1
E211,1
E212,0
E213,0
E214,1
E215,0
E216,1
E217,1
E218,1
E219,1
E220,0
E221,0
E222,1
E223,1
E224,0
E225,0
E226,1
E227,0
E228,0
E229,0
E230,1
E231,0
E232,1
E233,1
E234,1
E235,1
E236,0
E237,1
E238,0
E239,1
E240,0
E241,0
E242,1
E243,1
E244,1
E245,0
E246,0
E247,0
E248,1
E249,0
E250,0
E251,1
E252,0
E253,1
E254,0
E255,1
E256,1
E257,1
E258,0
E259,1
E260,1
E261,0
E262,1
E263,0
E264,1
E265,1
E266,1
E267,1
