,cl
E0,0
E1,1
E2,0
E3,0
E4,0
E5,0
E6,1
E7,0
E8,1
E9,0
E10,0
E11,0
E12,0
E13,0
E14,1
E15,0
E16,0
E17,0
E18,1
E19,1
E20,0
E21,0
E22,1
E23,0
E24,0
E25,0
E26,0
E27,0
E28,1
E29,1
E30,0
E31,0
E32,0
E33,0
E34,0
E35,0
E36,0
E37,1
E38,0
E39,1
E40,0
E41,0
E42,0
E43,0
E44,1
E45,0
E46,1
E47,0
E48,0
E49,0
E50,0
E51,0
E52,0
E53,1
E54,0
E55,0
E56,0
E57,0
E58,1
E59,1
E60,1
E61,0
E62,1
E63,1
E64,1
E65,0
E66,1
E67,1
E68,0
E69,1
E70,0
E71,0
E72,0
E73,1
E74,0
E75,0
E76,0
E77,0
E78,0
E79,0
E80,1
E81,0
E82,0
E83,0
E84,0
E85,1
E86,0
E87,1
E88,0
E89,0
E90,1
E91,1
E92,0
E93,0
E94,0
E95,0
E96,0
E97,0
E98,0
E99,1
E100,0
E101,0
E102,1
E103,0
E104,0
E105,0
E106,0
E107,1
E108,0
E109,1
E110,1
E111,0
E112,0
E113,0
E114,0
E115,0
E116,0
E117,0
E118,0
E119,1
E120,0
E121,1
E122,1
E123,1
E124,0
E125,0
E126,0
E127,0
E128,0
E129,0
E130,1
E131,0
E132,0
E133,0
E134,1
E135,1
E136,1
E137,0
E138,0
E139,0
E140,0
E141,0
E142,0
E143,1
E144,1
E145,1
E146,0
E147,0
E148,0
E149,0
E150,1
E151,1
E152,0
E153,0
E154,1
E155,1
E156,1
E157,1
E158,1
E159,0
E160,1
E161,0
E162,0
E163,0
E164,1
E165,0
E166,0
E167,0
E168,1
E169,0
E170,0
E171,0
E172,1
E173,1
E174,0
E175,0
E176,0
E177,1
E178,0
E179,0
E180,1
E181,1
E182,1
E183,0
E184,1
E185,0
E186,0
E187,1
E188,0
E189,0
E190,1
E191,0
E192,0
E193,1
E194,0
E195,1
E196,0
E197,1
E198,1
E199,0
E200,1
E201,0
E202,0
E203,0
E204,0
E205,0
E206,1
E207,1
E208,0
E209,0
E210,0
E211,0
E212,1
E213,0
E214,1
E215,1
E216,0
E217,0
E218,0
E219,1
E220,1
E221,0
E222,0
E223,0
E224,0
E225,0
E226,1
E227,1
E228,0
E229,0
E230,0
E231,0
E232,1
E233,0
E234,1
E235,1
E236,0
E237,0
E238,0
E239,0
E240,1
E241,0
E242,0
E243,0
E244,1
E245,1
E246,0
E247,0
E248,1
E249,0
E250,1
E251,1
E252,0
E253,1
E254,0
E255,0
E256,0
E257,0
E258,1
E259,0
E260,1
E261,0
E262,0
E263,1
E264,0
E265,0
E266,0
E267,0
E268,0
E269,0
E270,0
E271,1
E272,0
E273,0
E274,0
E275,0
E276,0
E277,1
E278,0
E279,0
E280,0
E281,0
E282,1
E283,0
E284,0
E285,0
E286,0
E287,0
E288,0
E289,0
E290,1
E291,1
E292,0
E293,1
E294,0
E295,0
E296,0
E297,1
E298,0
E299,0
E300,1
E301,0
E302,0
E303,0
E304,0
E305,1
E306,1
E307,0
E308,1
E309,1
E310,1
E311,1
E312,1
E313,1
E314,1
E315,1
E316,1
E317,1
E318,0
E319,0
E320,0
E321,0
E322,0
E323,0
E324,1
E325,0
E326,0
E327,1
E328,1
E329,0
E330,0
E331,0
E332,0
E333,1
E334,0
E335,1
E336,0
E337,0
E338,0
E339,1
E340,0
E341,0
E342,0
E343,1
E344,0
E345,0
E346,1
E347,0
E348,0
E349,0
E350,0
E351,1
E352,0
E353,0
E354,1
E355,0
E356,0
E357,1
E358,0
E359,0
E360,0
E361,1
E362,0
E363,0
E364,0
E365,0
E366,1
E367,0
E368,0
E369,1
E370,1
E371,1
E372,1
E373,0
E374,1
E375,0
E376,0
E377,0
E378,0
E379,0
E380,0
E381,0
E382,1
E383,1
E384,0
E385,1
E386,0
E387,0
E388,0
E389,0
E390,0
E391,1
E392,0
E393,1
E394,1
E395,1
E396,0
E397,1
E398,0
E399,0
E400,1
E401,0
E402,0
E403,0
E404,0
E405,1
E406,1
E407,0
E408,1
E409,1
E410,0
E411,1
E412,0
E413,0
E414,0
E415,0
E416,0
E417,0
E418,1
E419,1
E420,0
E421,0
E422,0
E423,0
E424,0
E425,0
E426,0
E427,0
E428,1
