,cl
E0,0
E1,0
E2,1
E3,1
E4,0
E5,1
E6,0
E7,1
E8,1
E9,1
E10,1
E11,1
E12,0
E13,1
E14,0
E15,0
E16,1
E17,1
E18,1
E19,0
E20,1
E21,1
E22,0
E23,0
E24,1
E25,1
E26,0
E27,0
E28,0
E29,1
E30,0
E31,0
E32,0
E33,1
E34,0
E35,0
E36,0
E37,1
E38,0
E39,1
E40,1
E41,1
E42,1
E43,0
E44,0
E45,0
E46,1
E47,0
E48,0
E49,1
E50,1
E51,0
E52,0
E53,0
E54,0
E55,0
E56,1
E57,1
E58,0
E59,1
E60,0
E61,1
E62,0
E63,1
E64,0
E65,1
E66,0
E67,1
E68,1
E69,0
E70,0
E71,0
E72,1
E73,1
E74,1
E75,0
E76,1
E77,1
E78,1
E79,1
E80,1
E81,0
E82,0
E83,1
E84,0
E85,0
E86,1
E87,1
E88,1
E89,0
E90,0
E91,1
E92,1
E93,1
E94,1
E95,0
E96,1
E97,1
E98,0
E99,1
E100,1
E101,1
E102,0
E103,0
E104,1
E105,0
E106,0
E107,0
E108,1
E109,1
E110,1
E111,0
E112,0
E113,0
E114,0
E115,0
E116,1
E117,1
E118,1
E119,0
E120,0
E121,1
E122,1
E123,0
E124,0
E125,1
E126,1
E127,0
E128,1
E129,1
E130,0
E131,1
E132,1
E133,1
E134,1
E135,0
E136,1
E137,0
E138,1
E139,0
E140,1
E141,1
E142,1
E143,0
E144,0
E145,0
E146,0
E147,0
E148,1
E149,0
E150,1
E151,1
E152,1
E153,1
E154,1
E155,1
E156,1
E157,1
E158,1
E159,0
E160,1
E161,1
E162,0
E163,1
E164,1
E165,0
E166,1
E167,0
E168,1
E169,0
E170,1
E171,0
E172,0
E173,1
E174,1
E175,1
E176,0
E177,0
E178,1
E179,1
E180,0
E181,1
E182,1
E183,1
E184,1
E185,0
E186,0
E187,1
E188,1
E189,0
E190,0
E191,0
E192,0
E193,1
E194,0
E195,1
E196,0
E197,1
E198,1
E199,1
E200,0
E201,1
E202,1
E203,1
E204,1
E205,1
E206,1
E207,0
E208,1
E209,1
E210,1
E211,0
E212,0
E213,1
E214,0
E215,1
E216,1
E217,0
E218,1
E219,1
E220,0
E221,0
E222,1
E223,0
E224,1
E225,0
E226,0
E227,1
E228,0
E229,0
E230,1
E231,0
E232,0
E233,1
E234,1
E235,1
E236,0
E237,0
E238,1
E239,1
E240,0
E241,1
E242,0
E243,1
E244,1
E245,0
E246,1
E247,1
E248,0
E249,1
E250,0
E251,0
E252,1
E253,0
E254,1
E255,1
E256,1
E257,0
E258,0
E259,1
E260,1
E261,0
E262,0
E263,0
E264,1
E265,1
E266,1
E267,1
E268,1
E269,1
E270,1
E271,1
E272,1
E273,1
E274,0
E275,0
E276,1
E277,1
E278,1
E279,1
E280,0
E281,1
E282,1
E283,0
E284,1
E285,1
E286,0
E287,0
E288,0
E289,1
E290,0
E291,1
E292,1
E293,1
E294,0
E295,0
E296,0
E297,1
E298,1
E299,0
E300,1
E301,1
E302,0
E303,0
E304,0
E305,1
E306,0
E307,0
E308,0
E309,1
E310,0
E311,1
E312,0
E313,0
E314,0
E315,0
E316,0
E317,1
E318,0
E319,1
E320,1
E321,0
E322,1
E323,0
E324,1
E325,0
E326,1
E327,1
E328,1
E329,0
E330,1
E331,0
E332,1
E333,1
E334,1
E335,1
E336,0
E337,1
E338,0
E339,1
E340,0
E341,0
E342,1
E343,0
E344,1
E345,0
E346,0
E347,1
E348,1
E349,0
E350,1
E351,0
E352,1
E353,1
E354,1
E355,1
E356,1
E357,1
E358,0
E359,1
E360,1
E361,1
E362,0
E363,1
E364,1
E365,0
E366,1
E367,0
E368,1
E369,0
E370,0
E371,0
E372,0
E373,1
E374,0
E375,1
E376,0
E377,1
E378,0
E379,0
E380,0
E381,1
E382,0
E383,1
E384,0
E385,0
E386,0
E387,1
E388,0
E389,1
E390,0
E391,1
E392,0
E393,1
E394,1
E395,1
E396,1
E397,0
E398,1
E399,1
E400,1
E401,1
E402,1
E403,1
E404,0
E405,1
E406,0
E407,0
E408,0
E409,0
E410,1
E411,0
E412,1
E413,0
E414,1
E415,1
E416,0
E417,1
E418,0
E419,1
E420,1
E421,0
E422,0
E423,1
E424,0
E425,0
E426,1
E427,1
E428,1
E429,1
E430,1
E431,1
E432,1
E433,0
E434,1
E435,1
E436,0
E437,1
E438,0
E439,1
E440,1
E441,1
E442,0
E443,0
E444,0
E445,1
E446,0
E447,1
E448,1
E449,0
E450,1
E451,0
E452,1
E453,1
E454,0
E455,1
E456,0
E457,0
E458,0
E459,0
E460,0
E461,0
E462,0
E463,0
E464,1
E465,1
E466,1
E467,1
E468,1
E469,1
E470,1
E471,0
E472,1
E473,1
E474,0
E475,0
E476,1
E477,0
E478,0
E479,1
E480,0
E481,0
E482,0
E483,0
E484,0
E485,0
E486,1
E487,0
E488,0
E489,0
E490,1
E491,0
E492,1
E493,1
E494,1
E495,1
E496,0
E497,1
E498,0
E499,0
E500,0
E501,0
E502,0
E503,1
E504,1
E505,0
E506,0
E507,1
E508,1
E509,1
E510,0
E511,0
E512,0
E513,1
E514,0
E515,1
E516,1
E517,1
E518,1
E519,0
E520,1
E521,0
E522,0
E523,0
E524,0
E525,1
E526,0
E527,1
E528,0
E529,0
E530,0
E531,1
E532,0
E533,1
E534,0
E535,1
E536,0
E537,1
E538,0
E539,0
E540,0
E541,0
E542,1
E543,0
E544,0
E545,0
E546,0
E547,0
E548,0
E549,1
E550,0
E551,0
E552,1
E553,0
E554,1
E555,1
E556,1
E557,1
E558,0
E559,0
E560,0
E561,1
E562,0
E563,1
E564,0
E565,0
E566,1
E567,0
E568,0
E569,0
E570,0
E571,0
E572,0
E573,1
E574,1
E575,0
E576,1
E577,0
E578,0
E579,1
E580,0
E581,1
E582,0
E583,1
E584,0
E585,0
E586,0
E587,0
E588,0
E589,1
E590,0
E591,1
E592,1
E593,1
E594,1
E595,0
E596,1
E597,1
E598,0
E599,0
E600,0
E601,1
E602,0
E603,1
E604,0
E605,0
E606,1
E607,0
E608,1
E609,0
E610,1
E611,0
E612,0
E613,0
E614,0
E615,0
E616,0
E617,0
E618,1
E619,0
E620,1
E621,1
E622,0
E623,0
E624,0
E625,1
E626,1
E627,0
