,PseudoTime1,PseudoTime2
E548_294,0.36763,NA
E422_610,NA,0.76412
E39_183,0.22836,NA
E873_760,0.95232,NA
E845_385,NA,0.48181
E941_143,0.17817,NA
E870_291,0.36386,NA
E950_200,NA,0.24969
E886_12,0.0138,NA
E576_365,NA,0.45671
E125_440,0.55082,NA
E40_184,NA,0.22961
E48_761,0.95358,NA
E880_674,NA,0.84442
E286_714,NA,0.8946
E385_85,NA,0.1054
E340_333,NA,0.41656
E278_376,NA,0.47051
E17_291,NA,0.36386
E210_377,0.47177,NA
E424_70,0.08657,NA
E763_492,NA,0.61606
E579_400,NA,0.50063
E596_54,0.0665,NA
E320_285,0.35634,NA
E620_524,0.65621,NA
E923_591,0.74028,NA
E687_333,0.41656,NA
E670_212,NA,0.26474
E60_707,NA,0.88582
E884_90,0.11167,NA
E324_578,0.72396,NA
E830_452,0.56587,NA
E349_171,NA,0.2133
E116_636,0.79674,NA
E961_377,NA,0.47177
E156_486,NA,0.60853
E465_348,0.43538,NA
E937_103,NA,0.12798
E269_574,NA,0.71895
E956_672,0.84191,NA
E475_319,0.399,NA
E418_372,0.4655,NA
E150_664,NA,0.83187
E244_555,NA,0.69511
E702_449,0.56211,NA
E914_546,NA,0.68381
E212_205,0.25596,NA
E708_345,0.43162,NA
E161_675,0.84567,NA
E274_345,NA,0.43162
E106_333,NA,0.41656
E8_405,NA,0.5069
E740_776,NA,0.9724
E107_538,0.67378,NA
E10_256,0.31995,NA
E484_531,0.66499,NA
E373_274,0.34253,NA
E630_451,NA,0.56462
E532_183,0.22836,NA
E613_36,NA,0.04391
E99_135,0.16813,NA
E848_231,0.28858,NA
E148_736,0.92221,NA
E792_404,NA,0.50565
E749_324,0.40527,NA
E768_282,NA,0.35257
E717_658,NA,0.82434
E906_94,NA,0.11669
E495_630,NA,0.78921
E584_445,0.55709,NA
E119_709,NA,0.88833
E964_6,NA,0.00627
E822_306,0.38269,NA
E530_526,0.65872,NA
E734_201,0.25094,NA
E592_671,NA,0.84065
E396_172,NA,0.21455
E298_373,0.46675,NA
E505_525,NA,0.65747
E921_606,NA,0.7591
E743_491,0.61481,NA
E219_17,NA,0.02008
E583_448,NA,0.56085
E951_497,NA,0.62233
E905_427,0.5345,NA
E533_315,NA,0.39398
E265_526,NA,0.65872
E649_484,0.60602,NA
E814_182,NA,0.2271
E641_749,NA,0.93852
E753_568,NA,0.71142
E633_272,NA,0.34003
E369_532,0.66625,NA
E993_535,NA,0.67001
E292_452,0.56587,NA
E795_610,NA,0.76412
E132_197,0.24592,NA
E213_698,NA,0.87453
E316_312,NA,0.39021
E766_230,0.28733,NA
E52_554,0.69385,NA
E88_603,NA,0.75533
E408_615,NA,0.77039
E218_657,0.82309,NA
E473_414,0.51819,NA
E305_231,NA,0.28858
E31_219,NA,0.27353
E321_709,NA,0.88833
E144_447,0.5596,NA
E607_2,0.00125,NA
E604_278,NA,0.34755
E363_13,0.01506,NA
E372_744,NA,0.93225
E142_586,0.734,NA
E238_780,NA,0.97742
E188_298,0.37265,NA
E261_334,0.41782,NA
E811_253,NA,0.31619
E557_186,0.23212,NA
E449_213,0.266,NA
E133_651,NA,0.81556
E878_749,NA,0.93852
E80_139,0.17315,NA
E482_301,NA,0.37641
E518_407,NA,0.50941
E32_382,0.47804,NA
E599_240,0.29987,NA
E455_411,NA,0.51443
E93_251,0.31368,NA
E694_671,0.84065,NA
E276_67,0.08281,NA
E877_59,NA,0.07277
E483_287,0.35885,NA
E722_21,NA,0.02509
E459_220,0.27478,NA
E421_197,NA,0.24592
E771_560,NA,0.70138
E891_647,NA,0.81054
E356_80,NA,0.09912
E199_537,NA,0.67252
E366_537,NA,0.67252
E780_334,0.41782,NA
E260_191,0.23839,NA
E952_187,NA,0.23338
E643_794,NA,0.99498
E965_730,NA,0.91468
E767_181,0.22585,NA
E329_652,0.81681,NA
E750_681,NA,0.8532
E622_354,NA,0.44291
E826_695,NA,0.87077
E920_657,NA,0.82309
E186_739,0.92597,NA
E571_408,NA,0.51066
E668_453,NA,0.56713
E35_610,0.76412,NA
E302_437,0.54705,NA
E800_18,NA,0.02133
E6_229,0.28607,NA
E842_154,0.19197,NA
E37_418,0.52321,NA
E839_535,0.67001,NA
E706_708,NA,0.88708
E304_253,0.31619,NA
E666_793,0.99373,NA
E198_530,0.66374,NA
E591_775,NA,0.97114
E762_779,NA,0.97616
E794_191,0.23839,NA
E196_446,0.55834,NA
E660_704,NA,0.88206
E43_15,0.01757,NA
E755_61,0.07528,NA
E91_402,0.50314,NA
E313_382,NA,0.47804
E29_725,NA,0.90841
E26_490,NA,0.61355
E975_173,0.21581,NA
E864_74,NA,0.09159
E934_493,NA,0.61731
E953_146,NA,0.18193
E68_111,NA,0.13802
E476_558,NA,0.69887
E779_429,0.53701,NA
E688_748,0.93726,NA
E510_34,0.04141,NA
E723_629,0.78795,NA
E206_600,0.75157,NA
E946_75,0.09285,NA
E677_22,0.02635,NA
E971_26,NA,0.03137
E729_605,0.75784,NA
E411_113,NA,0.14053
E765_473,0.59222,NA
E673_672,NA,0.84191
E57_93,NA,0.11543
E515_296,0.37014,NA
E751_660,NA,0.82685
E661_768,0.96236,NA
E458_297,0.37139,NA
E997_553,NA,0.6926
E208_435,NA,0.54454
E90_135,NA,0.16813
E309_742,0.92974,NA
E227_785,0.98369,NA
E517_754,0.94479,NA
E910_398,0.49812,NA
E644_304,NA,0.38018
E456_738,0.92472,NA
E266_52,NA,0.06399
E280_463,NA,0.57967
E332_678,0.84944,NA
E160_535,0.67001,NA
E86_129,0.1606,NA
E653_260,0.32497,NA
E696_214,NA,0.26725
E220_145,NA,0.18068
E942_172,NA,0.21455
E267_332,NA,0.41531
E731_28,NA,0.03388
E300_9,0.01004,NA
E528_654,0.81932,NA
E64_661,NA,0.82811
E933_761,NA,0.95358
E582_450,0.56336,NA
E173_131,NA,0.16311
E720_577,0.72271,NA
E348_559,NA,0.70013
E790_358,0.44793,NA
E233_210,0.26223,NA
E209_562,0.70389,NA
E41_673,0.84316,NA
E323_761,NA,0.95358
E681_353,0.44166,NA
E289_662,NA,0.82936
E954_699,NA,0.87578
E646_767,NA,0.9611
E246_165,NA,0.20577
E535_147,NA,0.18319
E351_573,NA,0.71769
E669_109,0.13551,NA
E237_627,0.78545,NA
E587_559,0.70013,NA
E277_617,NA,0.7729
E155_107,NA,0.133
