,PseudoTime1,PseudoTime2,PseudoTime3
E304_665,0.83312,NA,NA
E58_170,NA,NA,0.21205
E333_453,0.56713,NA,NA
E984_786,0.98494,NA,NA
E414_503,0.62986,NA,NA
E819_214,0.26725,NA,NA
E138_240,0.29987,NA,NA
E521_185,0.23087,NA,NA
E123_509,NA,0.63739,NA
E822_464,0.58093,NA,NA
E20_166,NA,NA,0.20703
E125_526,NA,0.65872,NA
E266_786,NA,NA,0.98494
E782_26,NA,0.03137,NA
E355_652,0.81681,NA,NA
E553_571,0.71518,NA,NA
E982_510,NA,0.63864,NA
E752_455,0.56964,NA,NA
E223_71,0.08783,NA,NA
E139_777,0.97365,NA,NA
E893_550,0.68883,NA,NA
E753_236,0.29486,NA,NA
E85_745,0.9335,NA,NA
E887_56,NA,0.06901,NA
E218_608,0.76161,NA,NA
E811_73,NA,0.09034,NA
E263_472,0.59097,NA,NA
E389_240,NA,NA,0.29987
E522_190,NA,0.23714,NA
E765_272,NA,0.34003,NA
E102_473,NA,NA,0.59222
E945_304,0.38018,NA,NA
E694_664,0.83187,NA,NA
E814_297,NA,NA,0.37139
E651_761,0.95358,NA,NA
E627_192,NA,NA,0.23965
E842_148,NA,NA,0.18444
E113_768,NA,0.96236,NA
E904_232,NA,0.28984,NA
E49_662,NA,0.82936,NA
E279_549,NA,NA,0.68758
E614_172,0.21455,NA,NA
E830_181,NA,0.22585,NA
E963_717,0.89837,NA,NA
E747_391,NA,NA,0.48934
E619_474,NA,0.59348,NA
E6_642,NA,0.80427,NA
E948_774,0.96989,NA,NA
E583_724,NA,0.90715,NA
E31_511,NA,0.6399,NA
E919_202,NA,0.2522,NA
E546_647,NA,0.81054,NA
E98_271,NA,0.33877,NA
E519_523,NA,0.65496,NA
E152_338,0.42284,NA,NA
E659_297,0.37139,NA,NA
E908_103,NA,0.12798,NA
E413_660,0.82685,NA,NA
E325_103,NA,0.12798,NA
E670_115,NA,0.14304,NA
E435_461,NA,0.57716,NA
E249_664,NA,NA,0.83187
E536_177,NA,0.22083,NA
E863_669,0.83814,NA,NA
E991_541,0.67754,NA,NA
E80_285,NA,0.35634,NA
E344_65,NA,NA,0.0803
E736_396,0.49561,NA,NA
E390_766,0.95985,NA,NA
E202_254,0.31744,NA,NA
E791_348,0.43538,NA,NA
E609_423,NA,0.52949,NA
E870_779,NA,NA,0.97616
E366_768,0.96236,NA,NA
E952_691,NA,0.86575,NA
E672_365,NA,0.45671,NA
E302_701,NA,0.87829,NA
E109_548,NA,0.68632,NA
E523_453,NA,0.56713,NA
E497_713,NA,0.89335,NA
E258_113,NA,NA,0.14053
E996_244,NA,0.30489,NA
E70_207,NA,0.25847,NA
E902_234,NA,0.29235,NA
E11_250,NA,0.31242,NA
E999_201,NA,0.25094,NA
E233_496,0.62108,NA,NA
E932_300,NA,0.37516,NA
E415_406,NA,NA,0.50816
E404_399,NA,NA,0.49937
E418_313,NA,0.39147,NA
E600_605,NA,0.75784,NA
E936_370,NA,0.46299,NA
E713_534,NA,NA,0.66876
E790_211,0.26349,NA,NA
E977_483,NA,0.60477,NA
E746_134,0.16688,NA,NA
E839_89,0.11041,NA,NA
E649_614,NA,0.76913,NA
E745_496,0.62108,NA,NA
E228_757,NA,0.94856,NA
E637_34,NA,0.04141,NA
E163_765,NA,0.95859,NA
E664_286,NA,NA,0.35759
E447_703,NA,0.8808,NA
E799_659,NA,NA,0.8256
E282_404,NA,0.50565,NA
E179_455,NA,0.56964,NA
E916_100,NA,0.12422,NA
E93_144,0.17942,NA,NA
E726_100,NA,0.12422,NA
E591_404,NA,NA,0.50565
E602_615,NA,0.77039,NA
E498_48,NA,0.05897,NA
E653_666,NA,0.83438,NA
E871_621,NA,0.77792,NA
E340_392,0.49059,NA,NA
E939_398,NA,NA,0.49812
E318_606,0.7591,NA,NA
E336_159,NA,0.19824,NA
E623_672,0.84191,NA,NA
E140_1,NA,0.0,NA
E733_460,0.57591,NA,NA
E953_748,NA,NA,0.93726
E675_615,NA,NA,0.77039
E307_318,0.39774,NA,NA
E943_638,NA,0.79925,NA
E100_640,NA,NA,0.80176
E773_352,0.4404,NA,NA
E326_188,NA,0.23463,NA
E33_725,NA,0.90841,NA
E303_104,NA,0.12923,NA
E59_599,NA,0.75031,NA
E481_340,NA,0.42535,NA
E531_114,0.14178,NA,NA
E775_317,0.39649,NA,NA
E922_444,NA,0.55583,NA
