,cl
E0,0
E1,1
E2,0
E3,2
E4,2
E5,0
E6,0
E7,2
E8,2
E9,0
E10,0
E11,1
E12,1
E13,0
E14,1
E15,2
E16,1
E17,2
E18,1
E19,1
E20,1
E21,0
E22,1
E23,2
E24,2
E25,2
E26,1
E27,2
E28,1
E29,2
E30,2
E31,1
E32,1
E33,0
E34,1
E35,2
E36,2
E37,1
E38,0
E39,0
E40,2
E41,1
E42,0
E43,2
E44,2
E45,1
E46,1
E47,1
E48,0
E49,1
E50,2
E51,2
E52,1
E53,1
E54,2
E55,1
E56,0
E57,0
E58,0
E59,1
E60,2
E61,1
E62,0
E63,2
E64,1
E65,0
E66,0
E67,1
E68,2
E69,2
E70,0
E71,2
E72,2
E73,2
E74,1
E75,1
E76,0
E77,0
E78,2
E79,0
E80,2
E81,0
E82,1
E83,0
E84,1
E85,2
E86,1
E87,0
E88,0
E89,0
E90,1
E91,2
E92,1
E93,2
E94,1
E95,1
E96,1
E97,1
E98,2
E99,0
E100,1
E101,1
E102,0
E103,0
E104,1
E105,1
E106,2
E107,1
E108,0
E109,2
E110,0
E111,2
E112,2
E113,0
E114,1
E115,1
E116,0
E117,2
E118,1
E119,0
E120,2
E121,1
E122,0
E123,1
E124,1
E125,0
E126,1
E127,1
E128,0
E129,1
E130,1
E131,2
E132,1
E133,1
E134,1
E135,1
E136,0
E137,2
E138,2
E139,1
E140,0
E141,1
E142,2
E143,1
E144,1
E145,2
E146,1
E147,2
E148,1
E149,1
E150,0
E151,1
E152,1
E153,1
E154,1
E155,0
E156,2
E157,0
E158,2
E159,2
E160,0
E161,2
E162,0
E163,0
E164,1
E165,1
E166,2
E167,0
E168,2
E169,2
E170,2
E171,1
E172,2
E173,1
E174,0
E175,1
E176,2
E177,1
E178,2
E179,2
E180,1
E181,1
E182,1
E183,1
E184,0
E185,0
E186,1
E187,0
E188,1
E189,0
E190,2
E191,1
E192,1
E193,1
E194,1
E195,2
E196,1
E197,1
E198,0
E199,1
E200,0
E201,2
E202,1
E203,1
E204,1
E205,0
E206,1
E207,1
E208,1
E209,0
E210,1
E211,2
E212,1
E213,1
E214,2
E215,1
E216,1
E217,1
E218,2
E219,0
E220,1
E221,2
E222,2
E223,1
E224,0
E225,1
E226,2
E227,0
E228,0
E229,1
E230,0
E231,0
E232,1
E233,2
E234,0
E235,2
E236,1
E237,0
E238,2
E239,1
E240,1
E241,2
E242,2
E243,2
E244,1
E245,2
E246,2
E247,2
E248,2
E249,0
E250,2
E251,1
E252,1
E253,1
E254,1
E255,2
E256,1
E257,2
E258,1
E259,1
E260,1
E261,2
E262,2
E263,2
E264,2
E265,2
E266,1
E267,2
E268,0
E269,0
E270,1
E271,0
E272,2
E273,1
E274,1
E275,2
E276,1
E277,1
E278,2
E279,2
E280,1
E281,1
E282,0
E283,1
E284,1
E285,2
E286,0
E287,2
E288,2
E289,0
E290,2
E291,1
E292,1
E293,2
E294,2
E295,2
E296,2
E297,2
E298,1
E299,1
E300,2
E301,0
E302,2
E303,0
E304,1
E305,2
E306,1
E307,1
E308,1
E309,0
E310,0
E311,1
E312,2
E313,1
E314,1
E315,2
E316,2
E317,0
E318,1
E319,2
E320,1
E321,2
E322,0
E323,1
E324,1
E325,1
E326,1
E327,1
E328,2
E329,2
E330,0
E331,2
E332,0
E333,1
E334,1
E335,2
E336,2
E337,2
E338,0
E339,1
E340,2
E341,2
E342,1
E343,2
E344,1
E345,1
E346,2
E347,1
E348,1
E349,1
E350,1
E351,0
E352,1
E353,1
E354,1
E355,2
E356,1
E357,1
E358,0
E359,1
E360,2
E361,2
E362,2
E363,1
E364,1
E365,2
E366,2
E367,0
E368,1
E369,1
E370,2
E371,1
E372,1
E373,1
E374,1
E375,2
E376,0
E377,1
E378,1
E379,1
E380,1
E381,1
E382,2
E383,2
E384,1
E385,1
E386,1
E387,1
E388,1
E389,2
E390,1
E391,2
E392,0
E393,2
E394,1
E395,1
E396,0
E397,2
E398,2
E399,0
E400,1
E401,1
E402,2
E403,2
E404,1
E405,1
E406,1
E407,2
E408,2
E409,2
E410,2
E411,0
E412,0
E413,2
E414,2
E415,0
E416,2
E417,1
E418,0
E419,0
E420,2
E421,2
E422,1
E423,2
E424,1
E425,0
E426,2
E427,1
E428,1
