,PseudoTime1,PseudoTime2,PseudoTime3
E95_321,0.40151,NA,NA
E212_715,NA,0.89586,NA
E852_709,0.88833,NA,NA
E598_513,NA,NA,0.64241
E538_775,NA,0.97114,NA
E746_369,NA,0.46173,NA
E772_296,NA,0.37014,NA
E643_60,0.07403,NA,NA
E142_317,NA,NA,0.39649
E448_253,NA,0.31619,NA
E637_124,0.15433,NA,NA
E931_342,NA,0.42785,NA
E337_649,NA,0.81305,NA
E364_153,NA,0.19072,NA
E549_95,NA,NA,0.11794
E735_546,0.68381,NA,NA
E920_204,0.25471,NA,NA
E316_707,NA,NA,0.88582
E375_62,NA,NA,0.07654
E564_59,NA,NA,0.07277
E581_141,NA,0.17566,NA
E43_453,NA,NA,0.56713
E156_266,NA,NA,0.3325
E181_528,NA,0.66123,NA
E918_172,NA,0.21455,NA
E754_438,0.54831,NA,NA
E111_366,NA,NA,0.45797
E299_388,NA,0.48557,NA
E478_652,NA,NA,0.81681
E12_566,0.70891,NA,NA
E767_569,NA,0.71267,NA
E924_210,NA,0.26223,NA
E436_763,NA,NA,0.95609
E101_378,0.47302,NA,NA
E675_723,NA,0.9059,NA
E532_536,0.67127,NA,NA
E802_166,0.20703,NA,NA
E21_118,0.1468,NA,NA
E63_113,0.14053,NA,NA
E261_302,0.37767,NA,NA
E683_589,0.73777,NA,NA
E572_81,NA,0.10038,NA
E334_343,NA,0.42911,NA
E660_222,NA,0.27729,NA
E22_724,NA,0.90715,NA
E13_253,NA,NA,0.31619
E233_588,NA,NA,0.73651
E17_360,NA,NA,0.45044
E769_178,0.22208,NA,NA
E393_156,NA,NA,0.19448
E633_454,0.56838,NA,NA
E382_427,0.5345,NA,NA
E860_578,0.72396,NA,NA
E741_244,0.30489,NA,NA
E994_60,0.07403,NA,NA
E170_714,NA,NA,0.8946
E242_60,NA,NA,0.07403
E282_668,0.83689,NA,NA
E260_106,0.13174,NA,NA
E740_743,NA,0.93099,NA
E900_671,NA,0.84065,NA
E842_120,NA,0.14931,NA
E362_117,NA,NA,0.14555
E84_676,NA,0.84693,NA
E317_333,NA,NA,0.41656
E774_64,NA,NA,0.07905
E277_528,NA,0.66123,NA
E642_71,NA,0.08783,NA
E133_662,NA,0.82936,NA
E245_147,0.18319,NA,NA
E570_125,NA,0.15558,NA
E574_450,NA,NA,0.56336
E533_253,NA,0.31619,NA
E919_374,NA,NA,0.46801
E50_574,NA,NA,0.71895
