,PseudoTime
E862_190,0.27116212338593976
E659_77,0.10903873744619799
E494_272,0.38880918220946914
E711_569,0.8149210903873745
E615_691,0.9899569583931134
E312_248,0.35437589670014347
E673_482,0.6901004304160688
E257_361,0.5164992826398852
E955_137,0.1951219512195122
E32_292,0.41750358680057387
E467_46,0.06456241032998565
E639_227,0.3242467718794835
E755_144,0.20516499282639886
E555_450,0.6441893830703013
E195_420,0.6011477761836442
E805_265,0.3787661406025825
E86_97,0.13773314203730272
E304_115,0.16355810616929697
E942_657,0.9411764705882353
E106_368,0.5265423242467718
E577_423,0.6054519368723099
E675_241,0.34433285509325684
E296_554,0.793400286944046
E402_274,0.3916786226685796
E590_486,0.6958393113342898
E981_256,0.36585365853658536
E51_606,0.8680057388809183
E873_206,0.29411764705882354
E928_464,0.6642754662840746
E692_68,0.09612625538020086
E447_663,0.9497847919655668
E338_120,0.17073170731707318
E261_389,0.5566714490674318
E49_396,0.5667144906743186
E591_459,0.6571018651362984
E953_476,0.6814921090387375
E466_105,0.1492109038737446
E584_430,0.6154949784791965
E860_245,0.3500717360114778
E70_78,0.11047345767575323
E736_335,0.47919655667144906
E699_611,0.8751793400286944
E891_614,0.8794835007173601
E679_241,0.34433285509325684
E206_668,0.9569583931133429
E678_324,0.4634146341463415
E616_683,0.9784791965566715
E781_177,0.25251076040172166
E671_90,0.12769010043041606
E686_285,0.40746054519368724
E880_193,0.27546628407460544
E794_589,0.8436154949784792
E640_185,0.26398852223816355
E715_82,0.11621233859397417
E947_186,0.2654232424677188
E429_598,0.8565279770444764
E579_582,0.8335724533715926
E971_652,0.9340028694404591
E64_624,0.8938307030129125
E969_546,0.7819225251076041
E552_642,0.9196556671449068
E913_547,0.7833572453371592
E667_344,0.4921090387374462
E641_554,0.793400286944046
E397_363,0.5193687230989957
E691_28,0.03873744619799139
E266_221,0.31563845050215206
E504_231,0.3299856527977044
E936_370,0.5294117647058824
E147_18,0.024390243902439025
E478_77,0.10903873744619799
E740_627,0.8981348637015782
E297_637,0.9124820659971306
E442_114,0.16212338593974174
E853_686,0.9827833572453372
E485_157,0.22381635581061693
E934_164,0.23385939741750358
E748_527,0.7546628407460545
E345_520,0.7446197991391679
E42_503,0.7202295552367288
E341_166,0.23672883787661406
E234_595,0.8522238163558106
E39_405,0.5796269727403156
E401_183,0.2611190817790531
E25_231,0.3299856527977044
E771_694,0.994261119081779
E193_560,0.8020086083213773
E841_40,0.05595408895265423
E668_150,0.21377331420373027
E492_452,0.6470588235294118
E603_670,0.9598278335724534
E6_538,0.7704447632711621
E359_393,0.5624103299856528
E852_480,0.6872309899569584
E288_616,0.8823529411764706
E811_565,0.8091822094691535
E306_168,0.23959827833572453
E864_171,0.24390243902439024
E7_225,0.321377331420373
E559_83,0.11764705882352941
E702_126,0.1793400286944046
E908_203,0.2898134863701578
E572_131,0.18651362984218078
E835_493,0.7058823529411765
E571_492,0.7044476327116213
E576_234,0.33428981348637016
E270_104,0.14777618364418937
E468_312,0.44619799139167865
E45_376,0.5380200860832137
E749_273,0.3902439024390244
E373_526,0.7532281205164992
E14_540,0.7733142037302726
E483_329,0.47058823529411764
E196_688,0.9856527977044476
E839_643,0.921090387374462
E785_306,0.4375896700143472
E922_538,0.7704447632711621
E769_219,0.3127690100430416
E518_112,0.15925394548063126
E450_434,0.6212338593974175
E89_574,0.8220946915351507
E105_604,0.8651362984218077
E547_473,0.6771879483500718
E930_482,0.6901004304160688
E866_578,0.8278335724533716
E809_448,0.6413199426111909
E597_459,0.6571018651362984
E612_574,0.8220946915351507
E80_102,0.1449067431850789
E226_457,0.6542324246771879
E607_205,0.2926829268292683
E957_338,0.4835007173601148
E360_434,0.6212338593974175
E588_424,0.6068866571018652
E245_657,0.9411764705882353
E875_637,0.9124820659971306
E100_189,0.2697274031563845
E309_8,0.010043041606886656
E29_38,0.05308464849354376
E351_278,0.39741750358680056
E842_589,0.8436154949784792
E528_474,0.6786226685796269
E322_669,0.9583931133428981
E796_583,0.8350071736011477
E13_169,0.24103299856527977
E556_544,0.7790530846484935
E278_536,0.7675753228120517
E582_296,0.4232424677187948
E737_263,0.37589670014347204
E298_414,0.5925394548063128
E630_624,0.8938307030129125
E295_422,0.6040172166427547
E161_368,0.5265423242467718
E385_574,0.8220946915351507
E486_535,0.7661406025824964
E41_26,0.035868005738880916
E965_82,0.11621233859397417
E923_328,0.46915351506456243
E96_166,0.23672883787661406
E217_167,0.2381635581061693
E716_385,0.5509325681492109
E205_97,0.13773314203730272
E265_483,0.6915351506456241
E415_204,0.29124820659971307
E914_259,0.3701578192252511
E249_209,0.2984218077474892
E301_1,0.0
E251_530,0.7589670014347202
E524_491,0.703012912482066
E432_258,0.36872309899569583
E619_418,0.5982783357245337
E170_122,0.17360114777618366
E107_349,0.49928263988522237
E553_427,0.6111908177905309
E752_324,0.4634146341463415
E670_473,0.6771879483500718
E720_297,0.4246771879483501
E732_693,0.9928263988522238
E905_321,0.45911047345767575
E709_661,0.9469153515064562
E810_408,0.5839311334289814
