,cl
E0,1
E1,0
E2,1
E3,1
E4,1
E5,1
E6,0
E7,0
E8,0
E9,1
E10,1
E11,0
E12,0
E13,0
E14,1
E15,1
E16,1
E17,0
E18,1
E19,0
E20,1
E21,0
E22,0
E23,1
E24,0
E25,1
E26,1
E27,1
E28,0
E29,0
E30,1
E31,1
E32,1
E33,1
E34,1
E35,1
E36,1
E37,0
E38,1
E39,0
E40,0
E41,0
E42,1
E43,1
E44,0
E45,0
E46,0
E47,1
E48,0
E49,0
E50,1
E51,1
E52,0
E53,0
E54,0
E55,1
E56,1
E57,0
E58,1
E59,1
E60,1
E61,0
E62,0
E63,1
E64,0
E65,1
E66,1
E67,1
E68,0
E69,1
E70,0
E71,0
E72,0
E73,0
E74,1
E75,0
E76,1
E77,1
E78,1
E79,1
E80,1
E81,1
E82,1
E83,0
E84,1
E85,1
E86,1
E87,1
E88,1
E89,1
E90,0
E91,1
E92,0
E93,1
E94,1
E95,0
E96,1
E97,1
E98,0
E99,0
E100,0
E101,0
E102,0
E103,0
E104,1
E105,0
E106,0
E107,1
E108,1
E109,0
E110,0
E111,0
E112,0
E113,0
E114,1
E115,0
E116,1
E117,1
E118,1
E119,0
E120,1
E121,0
E122,0
E123,0
E124,1
E125,1
E126,1
E127,1
E128,1
E129,0
E130,0
E131,0
E132,1
E133,0
E134,0
E135,0
E136,1
E137,0
E138,1
E139,0
E140,0
E141,0
E142,0
E143,1
E144,0
E145,1
E146,1
E147,0
E148,1
E149,1
E150,0
E151,0
E152,1
E153,0
E154,0
E155,1
E156,1
E157,1
E158,0
E159,1
E160,1
E161,1
E162,0
E163,1
E164,1
E165,1
E166,0
E167,1
E168,1
E169,1
E170,0
E171,1
E172,1
E173,1
E174,1
E175,0
E176,1
E177,1
E178,0
E179,0
E180,0
E181,1
E182,0
E183,0
E184,1
E185,1
E186,0
E187,1
E188,1
E189,0
E190,1
E191,1
E192,1
E193,1
E194,0
E195,1
E196,0
E197,1
E198,1
E199,0
E200,0
E201,1
E202,1
E203,1
E204,1
E205,1
E206,1
E207,0
E208,1
E209,1
E210,1
E211,0
E212,1
E213,0
E214,1
E215,1
E216,0
E217,1
E218,1
E219,0
E220,1
E221,1
E222,0
E223,1
E224,1
E225,0
E226,0
E227,0
E228,0
E229,0
E230,1
E231,1
E232,0
E233,1
E234,1
E235,1
E236,0
E237,0
E238,1
E239,0
E240,1
E241,0
E242,1
E243,0
E244,1
E245,1
E246,1
E247,1
E248,0
E249,0
E250,0
E251,0
E252,0
E253,1
E254,0
E255,0
E256,1
E257,0
E258,1
E259,0
E260,0
E261,1
E262,0
E263,1
E264,1
E265,1
E266,0
E267,0
E268,0
E269,0
E270,0
E271,0
E272,0
E273,1
E274,1
E275,1
E276,0
E277,0
E278,1
E279,1
E280,0
E281,0
E282,1
E283,1
E284,0
E285,0
E286,1
E287,0
E288,1
E289,1
E290,1
E291,1
E292,0
E293,0
E294,0
E295,0
E296,1
E297,1
E298,0
E299,0
E300,0
E301,0
E302,1
E303,1
E304,0
E305,1
E306,0
E307,0
E308,1
E309,0
E310,1
E311,1
E312,0
E313,1
E314,0
E315,1
E316,0
E317,1
E318,1
E319,1
E320,1
E321,1
E322,1
E323,1
E324,1
E325,1
E326,1
E327,1
E328,0
E329,1
E330,1
E331,1
E332,1
E333,1
E334,1
E335,0
E336,1
E337,1
E338,0
E339,1
E340,1
E341,0
E342,1
E343,1
E344,1
E345,1
E346,0
E347,0
E348,0
E349,0
E350,0
E351,1
E352,1
E353,1
E354,0
E355,1
E356,1
E357,0
E358,1
E359,1
E360,0
E361,1
E362,1
E363,0
E364,0
E365,1
E366,0
E367,1
E368,0
E369,1
E370,0
E371,1
E372,1
E373,1
E374,0
E375,0
E376,0
E377,0
E378,0
E379,1
E380,1
E381,0
E382,0
E383,0
E384,0
E385,1
E386,1
E387,0
E388,1
E389,0
E390,1
E391,0
E392,1
E393,1
E394,1
E395,1
E396,1
E397,1
E398,1
E399,0
E400,0
E401,0
E402,1
E403,0
E404,0
E405,0
E406,0
E407,0
