,cl
E0,0
E1,1
E2,2
E3,1
E4,2
E5,2
E6,0
E7,2
E8,2
E9,0
E10,2
E11,0
E12,0
E13,2
E14,1
E15,0
E16,1
E17,2
E18,0
E19,1
E20,1
E21,0
E22,1
E23,0
E24,0
E25,2
E26,1
E27,2
E28,1
E29,2
E30,2
E31,0
E32,1
E33,0
E34,0
E35,0
E36,2
E37,1
E38,0
E39,2
E40,2
E41,1
E42,0
E43,2
E44,2
E45,1
E46,1
E47,1
E48,2
E49,0
E50,2
E51,0
E52,1
E53,1
E54,0
E55,1
E56,2
E57,2
E58,2
E59,0
E60,0
E61,0
E62,2
E63,0
E64,0
E65,2
E66,0
E67,1
E68,2
E69,2
E70,2
E71,2
E72,0
E73,0
E74,0
E75,2
E76,2
E77,2
E78,2
E79,1
E80,0
E81,0
E82,0
E83,0
E84,1
E85,2
E86,1
E87,2
E88,0
E89,0
E90,1
E91,2
E92,0
E93,2
E94,1
E95,0
E96,1
E97,1
E98,0
E99,0
E100,1
E101,0
E102,2
E103,0
E104,0
E105,0
E106,2
E107,0
E108,0
E109,2
E110,2
E111,2
E112,2
E113,0
E114,0
E115,1
E116,2
E117,2
E118,2
E119,0
E120,2
E121,0
E122,2
E123,0
E124,0
E125,2
E126,0
E127,1
E128,0
E129,1
E130,1
E131,2
E132,0
E133,1
E134,1
E135,1
E136,0
E137,0
E138,2
E139,1
E140,0
E141,1
E142,2
E143,0
E144,1
E145,2
E146,1
E147,0
E148,1
E149,1
E150,2
E151,2
E152,1
E153,0
E154,1
E155,2
E156,2
E157,0
E158,0
E159,0
E160,0
E161,2
E162,2
E163,2
E164,1
E165,1
E166,2
E167,2
E168,2
E169,2
E170,2
E171,1
E172,0
E173,0
E174,2
E175,0
E176,0
E177,1
E178,2
E179,2
E180,0
E181,1
E182,1
E183,1
E184,0
E185,2
E186,1
E187,2
E188,1
E189,2
E190,2
E191,0
E192,1
E193,1
E194,1
E195,2
E196,1
E197,1
E198,2
E199,1
E200,2
E201,2
E202,1
E203,0
E204,1
E205,0
E206,1
E207,1
E208,1
E209,0
E210,1
E211,2
E212,1
E213,1
E214,2
E215,0
E216,1
E217,1
E218,2
E219,2
E220,0
E221,0
E222,2
E223,1
E224,2
E225,0
E226,2
E227,2
E228,2
E229,1
E230,2
E231,2
E232,1
E233,2
E234,0
E235,0
E236,1
E237,2
E238,2
E239,0
E240,1
E241,2
E242,2
E243,2
E244,1
E245,0
E246,2
E247,2
E248,2
E249,2
E250,0
E251,1
E252,1
E253,0
E254,0
E255,2
E256,0
E257,2
E258,1
E259,1
E260,0
E261,0
E262,2
E263,2
E264,2
E265,2
E266,1
E267,0
E268,2
E269,0
E270,1
E271,0
E272,2
E273,0
E274,0
E275,2
E276,0
E277,1
E278,2
E279,2
E280,0
E281,0
E282,0
E283,0
E284,1
E285,2
E286,2
E287,2
E288,2
E289,2
E290,2
E291,0
E292,1
E293,0
E294,2
E295,0
E296,2
E297,2
E298,1
E299,1
E300,0
E301,2
E302,2
E303,2
E304,1
E305,0
E306,1
E307,1
E308,1
E309,2
E310,0
E311,1
E312,0
E313,1
E314,1
E315,2
E316,2
E317,2
E318,1
E319,2
E320,1
E321,2
E322,0
E323,2
E324,0
E325,0
E326,0
E327,1
E328,2
E329,2
E330,0
E331,1
E332,2
E333,1
E334,1
E335,2
E336,2
E337,1
E338,0
E339,1
E340,2
E341,2
E342,1
E343,2
E344,1
E345,0
E346,2
E347,1
E348,0
E349,0
E350,1
E351,2
E352,0
E353,1
E354,1
E355,2
E356,0
E357,1
E358,0
E359,2
E360,2
E361,0
E362,2
E363,0
E364,1
E365,2
E366,2
E367,0
E368,1
E369,1
E370,2
E371,1
E372,1
E373,2
E374,1
E375,2
E376,0
E377,0
E378,1
E379,0
E380,1
E381,1
E382,0
E383,0
E384,1
E385,1
E386,0
E387,1
E388,0
E389,2
E390,1
E391,0
E392,2
E393,2
E394,0
E395,1
E396,2
E397,0
E398,2
E399,2
E400,1
E401,1
E402,0
E403,2
E404,1
E405,0
E406,0
E407,2
E408,0
E409,2
E410,2
E411,2
E412,2
E413,2
E414,2
E415,2
E416,2
E417,1
E418,0
E419,2
E420,2
E421,0
E422,1
E423,2
E424,0
E425,0
E426,2
E427,1
E428,0
