,PseudoTime1,PseudoTime2
E696_785,NA,0.98367
E36_168,0.20854,NA
E307_500,0.62563,NA
E165_702,0.8794,NA
E421_190,0.23618,NA
E890_180,NA,0.22362
E338_108,0.13317,NA
E694_165,0.20477,NA
E317_84,NA,0.10302
E297_82,NA,0.1005
E564_740,0.92714,NA
E441_235,NA,0.29271
E467_332,NA,0.41457
E372_773,0.96859,NA
E320_9,NA,0.00879
E657_755,0.94598,NA
E644_519,0.6495,NA
E856_605,NA,0.75754
E779_654,0.8191,NA
E673_148,0.18342,NA
E235_538,NA,0.67337
E293_670,NA,0.8392
E314_116,0.14322,NA
E700_104,NA,0.12814
E437_553,NA,0.69221
E30_574,0.71859,NA
E398_592,NA,0.74121
E38_170,0.21106,NA
E771_505,0.63191,NA
E556_240,NA,0.29899
E46_298,NA,0.37186
E999_357,0.44598,NA
E653_448,NA,0.5603
E600_74,0.09045,NA
E660_599,NA,0.75
E45_543,0.67965,NA
E219_600,NA,0.75126
E731_691,NA,0.86558
E636_298,NA,0.37186
E679_182,NA,0.22613
E324_72,NA,0.08794
E576_342,NA,0.42714
E213_27,NA,0.03141
E905_398,NA,0.49749
E489_668,0.83668,NA
E830_341,0.42588,NA
E814_529,NA,0.66206
E414_752,NA,0.94221
E822_128,NA,0.15829
E745_405,NA,0.50628
E750_790,0.98995,NA
E717_409,NA,0.51131
E708_735,0.92085,NA
E122_454,NA,0.56784
E531_209,NA,0.26005
E935_670,0.8392,NA
E507_478,NA,0.59799
E388_165,0.20477,NA
E140_730,NA,0.91457
E608_574,NA,0.71859
E792_205,0.25503,NA
E620_74,NA,0.09045
E310_792,0.99246,NA
E490_660,NA,0.82663
E550_95,0.11683,NA
E921_8,NA,0.00754
E54_446,0.55779,NA
E159_658,0.82412,NA
E521_708,0.88693,NA
E557_729,NA,0.91332
E756_433,NA,0.54146
E133_72,NA,0.08794
E518_655,NA,0.82035
E87_367,NA,0.45854
E81_518,0.64824,NA
E529_67,0.08166,NA
E709_349,0.43593,NA
E878_198,NA,0.24623
E287_290,0.36181,NA
E584_299,0.37312,NA
E512_579,0.72487,NA
E958_81,0.09925,NA
E622_635,0.79523,NA
E849_64,NA,0.07789
E147_775,0.97111,NA
E105_377,0.47111,NA
E996_531,0.66457,NA
