,PseudoTime1,PseudoTime2,PseudoTime3
E51_712,NA,NA,0.89434
E896_205,NA,0.2566,NA
E167_469,0.58868,NA,NA
E161_607,NA,NA,0.76226
E195_257,NA,NA,0.32201
E259_633,NA,0.79497,NA
E464_8,0.00881,NA,NA
E880_216,NA,0.27044,NA
E922_497,NA,0.6239,NA
E178_484,NA,NA,0.60755
E457_775,NA,0.97358,NA
E224_293,0.3673,NA,NA
E176_389,NA,NA,0.48805
E813_258,NA,0.32327,NA
E357_469,NA,0.58868,NA
E5_379,0.47547,NA,NA
E365_234,NA,NA,0.29308
E3_42,NA,NA,0.05157
E727_266,0.33333,NA,NA
E612_386,NA,0.48428,NA
E45_463,NA,0.58113,NA
E68_652,NA,NA,0.81887
E381_633,NA,0.79497,NA
E374_430,NA,0.53962,NA
E908_352,NA,0.44151,NA
E213_498,NA,0.62516,NA
E251_218,NA,0.27296,NA
E556_121,0.15094,NA,NA
E269_218,0.27296,NA,NA
E187_155,0.19371,NA,NA
E660_349,NA,0.43774,NA
E152_735,NA,0.92327,NA
E151_75,NA,0.09308,NA
E47_349,NA,0.43774,NA
E283_501,NA,0.62893,NA
E501_547,NA,NA,0.68679
E619_252,NA,0.31572,NA
E614_296,NA,NA,0.37107
E329_310,NA,NA,0.38868
E448_92,NA,0.11447,NA
E216_424,NA,0.53208,NA
E191_236,NA,0.2956,NA
E538_342,NA,0.42893,NA
E405_244,NA,0.30566,NA
E848_328,NA,NA,0.41132
E27_169,NA,NA,0.21132
E939_731,0.91824,NA,NA
E387_203,NA,0.25409,NA
E855_665,NA,0.83522,NA
E122_553,0.69434,NA,NA
E246_679,NA,NA,0.85283
E988_313,0.39245,NA,NA
E30_655,NA,NA,0.82264
E704_250,NA,NA,0.31321
E347_479,NA,0.60126,NA
E297_444,NA,NA,0.55723
E662_1,0.0,NA,NA
E699_18,NA,0.02138,NA
E632_786,NA,0.98742,NA
E108_579,0.72704,NA,NA
E36_532,NA,NA,0.66792
E82_43,NA,0.05283,NA
E835_287,0.35975,NA,NA
E335_15,NA,NA,0.01761
