,PseudoTime1,PseudoTime2
E533_895,NA,0.89648
E857_335,0.33367,NA
E282_67,NA,0.06432
E796_974,0.97588,NA
E736_112,NA,0.10955
E592_306,NA,0.30452
E18_315,NA,0.31357
E306_382,0.3809,NA
E266_266,0.26432,NA
E133_331,0.32965,NA
E840_567,0.56683,NA
E114_640,NA,0.6402
E274_10,NA,0.00704
E879_512,NA,0.51156
E358_256,NA,0.25427
E681_226,0.22412,NA
E414_359,0.35779,NA
E429_672,0.67236,NA
E741_429,0.42814,NA
E452_711,NA,0.71156
E97_997,NA,0.99899
E456_336,0.33467,NA
E215_466,NA,0.46533
E772_218,0.21608,NA
E177_600,NA,0.6
E618_857,0.85829,NA
E710_195,0.19296,NA
E359_719,NA,0.7196
E438_138,0.13568,NA
E819_205,NA,0.20302
E792_697,NA,0.69749
E659_83,0.0804,NA
E811_60,0.05729,NA
E888_964,0.96583,NA
E642_958,0.9598,NA
E679_286,0.28442,NA
E688_268,0.26633,NA
E848_125,NA,0.12261
E504_278,NA,0.27638
E354_899,0.9005,NA
E355_455,NA,0.45427
E738_124,0.12161,NA
E246_644,NA,0.64422
E732_598,0.59799,NA
E278_410,NA,0.40905
E735_795,NA,0.79598
E461_529,NA,0.52864
E184_597,NA,0.59698
E221_155,NA,0.15276
E800_246,NA,0.24422
E650_492,NA,0.49146
E683_142,NA,0.1397
E450_519,NA,0.51859
E402_260,NA,0.25829
E93_409,NA,0.40804
E996_21,NA,0.01809
E975_387,0.38593,NA
E8_301,0.2995,NA
E189_291,0.28945,NA
E1_216,0.21407,NA
E480_576,0.57588,NA
E799_775,NA,0.77588
E749_600,0.6,NA
E920_834,NA,0.83518
E255_549,0.54874,NA
E298_742,0.74271,NA
E947_152,NA,0.14975
E619_23,0.0201,NA
E556_917,0.91859,NA
E232_974,0.97588,NA
E654_808,NA,0.80905
E483_577,NA,0.57688
E161_62,NA,0.0593
E217_468,NA,0.46734
E765_469,0.46834,NA
E702_93,NA,0.09045
E631_380,NA,0.37889
E620_490,NA,0.48945
E17_550,0.54975,NA
E915_65,0.06231,NA
E239_691,0.69146,NA
E748_714,NA,0.71457
E615_730,0.73065,NA
E778_519,0.51859,NA
E268_311,0.30955,NA
E859_498,NA,0.49749
E521_144,0.14171,NA
E271_330,0.32864,NA
E75_584,0.58392,NA
E382_947,0.94874,NA
E569_866,NA,0.86734
E235_758,NA,0.75879
E463_379,0.37789,NA
E319_981,NA,0.98291
E586_673,0.67337,NA
E343_416,NA,0.41508
E304_796,0.79698,NA
E583_831,0.83216,NA
E292_953,0.95477,NA
E381_172,0.16985,NA
E761_700,NA,0.7005
E435_835,0.83618,NA
E342_830,NA,0.83116
E311_800,NA,0.80101
E323_616,NA,0.61608
E390_995,NA,0.99698
E0_817,NA,0.81809
E808_98,0.09548,NA
E567_587,0.58693,NA
E519_594,NA,0.59397
E931_752,0.75276,NA
E419_749,0.74975,NA
E346_978,0.9799,NA
E220_71,NA,0.06834
E870_238,0.23618,NA
E98_67,0.06432,NA
E771_414,NA,0.41307
E399_183,0.1809,NA
E167_764,NA,0.76482
E267_9,0.00603,NA
E942_511,0.51055,NA
E525_989,NA,0.99095
E860_935,NA,0.93668
E824_519,0.51859,NA
E845_82,0.0794,NA
E88_861,NA,0.86231
E122_759,0.7598,NA
E668_924,0.92563,NA
E371_547,NA,0.54673
E222_910,0.91156,NA
E696_364,0.36281,NA
E9_573,NA,0.57286
E980_538,NA,0.53769
E754_169,NA,0.16683
E904_698,NA,0.69849
E548_460,NA,0.4593
E863_254,NA,0.25226
E638_80,NA,0.07739
E598_268,NA,0.26633
E28_481,0.4804,NA
E398_165,NA,0.16281
E779_216,0.21407,NA
E685_779,0.7799,NA
E872_533,NA,0.53266
E677_28,0.02513,NA
E460_414,NA,0.41307
E968_485,NA,0.48442
E164_832,NA,0.83317
E551_5,NA,0.00201
E804_704,NA,0.70452
E513_476,NA,0.47538
E695_874,NA,0.87538
E374_496,0.49548,NA
E717_577,NA,0.57688
E32_47,NA,0.04422
E798_258,0.25628,NA
E22_737,0.73769,NA
E445_11,NA,0.00804
E245_763,NA,0.76382
E633_859,NA,0.8603
E176_961,NA,0.96281
E433_680,0.6804,NA
E723_812,NA,0.81307
E105_494,0.49347,NA
E580_171,0.16884,NA
E578_272,NA,0.27035
E826_275,NA,0.27337
E853_158,0.15578,NA
E314_184,0.18191,NA
E92_942,0.94372,NA
E76_399,NA,0.39799
E300_618,0.61809,NA
E835_816,0.81709,NA
E48_989,0.99095,NA
E641_904,NA,0.90553
E665_710,NA,0.71055
E111_407,0.40603,NA
E370_824,0.82513,NA
E214_792,NA,0.79296
E286_570,NA,0.56985
E237_649,0.64925,NA
E865_122,NA,0.1196
E712_755,0.75578,NA
E281_752,0.75276,NA
E550_799,0.8,NA
E247_285,NA,0.28342
E206_994,NA,0.99598
E238_323,NA,0.32161
E418_136,0.13367,NA
E614_201,0.19899,NA
E294_245,0.24322,NA
E175_158,0.15578,NA
E3_360,NA,0.35879
E33_712,NA,0.71256
E711_75,0.07236,NA
E501_288,0.28643,NA
E44_96,0.09347,NA
E944_683,NA,0.68342
E207_278,0.27638,NA
E178_682,0.68241,NA
E511_966,NA,0.96784
E570_462,NA,0.46131
E787_771,0.77186,NA
E760_255,0.25327,NA
E240_518,NA,0.51759
E515_642,NA,0.64221
E923_304,NA,0.30251
E693_351,0.34975,NA
E839_19,0.01608,NA
E662_417,NA,0.41608
E603_182,0.1799,NA
E301_332,0.33065,NA
E992_6,NA,0.00302
E228_754,0.75477,NA
E455_942,NA,0.94372
E612_579,NA,0.57889
E770_576,NA,0.57588
E789_534,0.53367,NA
E260_934,0.93568,NA
E208_3,NA,0.0
E446_496,0.49548,NA
E310_481,NA,0.4804
E609_444,NA,0.44322
E14_430,NA,0.42915
E922_170,NA,0.16784
E699_215,NA,0.21307
E200_223,0.22111,NA
E706_219,0.21709,NA
E223_577,NA,0.57688
E106_336,0.33467,NA
E561_205,0.20302,NA
E196_68,0.06533,NA
E254_784,0.78492,NA
E464_721,0.72161,NA
E718_993,0.99497,NA
E21_317,0.31558,NA
E405_584,0.58392,NA
E982_197,0.19497,NA
E733_263,NA,0.26131
E226_297,0.29548,NA
E348_10,0.00704,NA
E500_644,0.64422,NA
E16_975,NA,0.97688
E497_6,0.00302,NA
E136_124,NA,0.12161
E672_221,NA,0.2191
E687_863,NA,0.86432
E529_842,NA,0.84322
E352_508,NA,0.50754
E714_360,0.35879,NA
E100_684,0.68442,NA
E945_492,0.49146,NA
E656_58,NA,0.05528
E160_178,NA,0.17588
E397_967,NA,0.96884
E648_850,NA,0.85126
E919_95,NA,0.09246
E624_283,NA,0.28141
E875_582,NA,0.58191
E357_33,0.03015,NA
E602_725,0.72563,NA
E522_350,NA,0.34874
E934_987,0.98894,NA
E341_688,0.68844,NA
E790_867,NA,0.86834
E13_428,0.42714,NA
E107_606,NA,0.60603
E553_377,NA,0.37588
E916_479,0.47839,NA
E594_654,0.65427,NA
E774_106,NA,0.10352
E476_173,0.17085,NA
E740_718,0.71859,NA
E485_505,0.50452,NA
E339_439,NA,0.43819
E793_800,NA,0.80101
E927_724,0.72462,NA
E172_374,NA,0.37286
E360_704,0.70452,NA
E775_682,0.68241,NA
E190_525,NA,0.52462
E338_96,0.09347,NA
E412_600,NA,0.6
E621_709,NA,0.70955
E832_915,NA,0.91658
E830_125,0.12261,NA
E506_634,NA,0.63417
E716_494,0.49347,NA
E478_465,0.46432,NA
E152_98,NA,0.09548
E285_433,0.43216,NA
E573_757,NA,0.75779
E649_428,0.42714,NA
E818_122,NA,0.1196
E910_413,NA,0.41206
E597_985,0.98693,NA
E290_533,NA,0.53266
E143_109,NA,0.10653
E929_810,NA,0.81106
E545_733,NA,0.73367
E263_773,NA,0.77387
E279_123,NA,0.1206
E142_142,0.1397,NA
E743_307,NA,0.30553
E84_857,NA,0.85829
E574_838,NA,0.8392
E36_143,NA,0.1407
E721_596,NA,0.59598
E134_648,0.64824,NA
E537_16,0.01307,NA
E37_580,0.5799,NA
E897_177,0.17487,NA
E316_676,0.67638,NA
E25_780,NA,0.7809
E345_591,NA,0.59095
E781_47,0.04422,NA
E943_919,NA,0.9206
E587_42,NA,0.0392
E752_713,0.71357,NA
E2_23,NA,0.0201
E484_234,0.23216,NA
E914_865,0.86633,NA
E128_592,NA,0.59196
E327_830,NA,0.83116
E516_960,NA,0.96181
E979_316,0.31457,NA
E85_784,NA,0.78492
E993_249,0.24724,NA
E616_325,NA,0.32362
E657_52,0.04925,NA
E244_901,NA,0.90251
E540_264,0.26231,NA
E262_274,0.27236,NA
E646_178,NA,0.17588
E203_448,NA,0.44724
E378_534,0.53367,NA
E590_644,NA,0.64422
E671_44,NA,0.04121
E420_846,NA,0.84724
E275_223,NA,0.22111
E956_852,0.85327,NA
E686_788,0.78894,NA
E876_899,NA,0.9005
E332_406,NA,0.40503
E653_774,0.77487,NA
E213_229,0.22714,NA
E34_157,NA,0.15477
E130_116,0.11357,NA
E376_403,0.40201,NA
E755_963,0.96482,NA
E849_22,0.0191,NA
E868_193,0.19095,NA
E55_117,NA,0.11457
E763_934,NA,0.93568
E265_440,NA,0.4392
E30_720,NA,0.7206
E766_182,0.1799,NA
E337_942,NA,0.94372
E428_359,0.35779,NA
E86_395,NA,0.39397
E961_787,NA,0.78794
E474_927,0.92864,NA
E277_331,0.32965,NA
E462_254,NA,0.25226
E153_771,0.77186,NA
E673_357,0.35578,NA
E137_708,0.70854,NA
E655_363,NA,0.36181
E588_421,NA,0.4201
E52_790,0.79095,NA
E129_380,0.37889,NA
E791_498,0.49749,NA
E617_18,NA,0.01508
E841_500,NA,0.4995
E64_41,0.03819,NA
E902_153,0.15075,NA
E149_52,NA,0.04925
E906_209,NA,0.20704
E744_932,NA,0.93367
E769_503,0.50251,NA
E843_457,NA,0.45628
E881_344,NA,0.34271
E747_199,0.19698,NA
E886_783,0.78392,NA
E518_998,NA,1.0
E542_564,NA,0.56382
E990_138,0.13568,NA
E386_735,NA,0.73568
E517_150,NA,0.14774
E41_822,0.82312,NA
E536_582,NA,0.58191
E759_582,NA,0.58191
E410_304,0.30251,NA
E981_864,NA,0.86533
E691_179,NA,0.17688
E611_737,NA,0.73769
E449_746,0.74673,NA
E12_105,0.10251,NA
E441_958,0.9598,NA
E652_43,NA,0.0402
E813_965,NA,0.96683
E439_616,0.61608,NA
E120_23,NA,0.0201
E163_826,NA,0.82714
E62_246,0.24422,NA
E905_823,NA,0.82412
E559_910,0.91156,NA
E448_515,0.51457,NA
E571_297,NA,0.29548
E68_615,0.61508,NA
E259_127,0.12462,NA
E191_790,NA,0.79095
E660_152,NA,0.14975
E174_229,NA,0.22714
E957_742,0.74271,NA
E56_978,NA,0.9799
E110_354,0.35276,NA
E212_783,NA,0.78392
